Suburb/Town Name,Region,Local Government Area,Postcode
Gisborne,Other,Macedon Ranges,3437
Gladstone Park,Metro Outer North,Hume,3043
Glen Huntly,Metro Inner South,Glen Eira,3163
Glen Iris,Metro Inner East,Stonnington,3146
Glen Waverley,Metro Inner East,Monash,3150
Glenrowan,Other,Wangaratta,3675
Glenrowan West,Other,Benalla,3675
Glenroy,Metro Inner North,Merri-bek,3046
Golden Point,Other,Ballarat,3350
Golden Square,Other,Greater Bendigo,3555
Grangefields,,,
Greensborough,Metro Inner North,Banyule,3088
Greenvale,Metro Outer North,Hume,3059
Grovedale,Other,Greater Geelong,3216
Gunbower,Other,Campaspe,3566
Hadfield,Metro Inner North,Merri-bek,3046
Hallam,Metro Outer South,Casey,3803
Halls Gap,Other,Northern Grampians,3381
Hamilton,Other,Southern Grampians,3300
Hamlyn Heights,Other,Greater Geelong,3215
Hampton,Metro Inner South,Bayside,3188
Hampton East,Metro Inner South,Bayside,3188
Hampton Park,Metro Outer South,Casey,3976
Harkness,Metro Outer West,Melton,3337
Harston,Other,Greater Shepparton,3616
Hastings,Metro Outer South,Mornington Peninsula,3915
Hawthorn,Metro Inner East,Boroondara,3122
Hawthorn East,Metro Inner East,Boroondara,3123
Healesville,Metro Outer East,Yarra Ranges,3777
Heathcote,Other,Greater Bendigo,3523
Heatherton,Metro Outer South,Kingston,3202
Heathmont,Metro Inner East,Maroondah,3135
Heidelberg,Metro Inner North,Banyule,3084
Heidelberg Heights,Metro Inner North,Banyule,3081
Heidelberg West,Metro Inner North,Banyule,3081
Herne Hill,Other,Greater Geelong,3218
Heyfield,,,
Highett,Metro Inner South,Bayside,3190
Highton,Other,Greater Geelong,3216
Hillside,Metro Outer West,Melton,3037
Hoppers Crossing,Metro Outer West,Wyndham,3029
Horsham,Other,Horsham,3400
Hughesdale,Metro Inner East,Monash,3166
Huntingdale,Metro Inner East,Monash,3166
Huntly,,,
Hurstbridge,Metro Outer North,Nillumbik,3099
Indented Head,Other,Greater Geelong,3223
Inverloch,Other,Bass Coast,3996
Ironbark,Other,Greater Bendigo,3550
Irymple,Other,Mildura,3498
Ivanhoe,Metro Inner North,Banyule,3079
Ivanhoe East,Metro Inner North,Banyule,3079
Jacana,,,
Kalkallo,Metro Outer North,Hume,3064
Kangaroo Flat,Other,Greater Bendigo,3555
Kealba,Metro Inner West,Brimbank,3021
Keilor,,,
Keilor Downs,Metro Inner West,Brimbank,3038
Keilor Lodge,Metro Inner West,Brimbank,3038
Keilor North,Metro Inner West,Brimbank,3036
Keilor East,,,
Keilor Park,,,
Kennington,Other,Greater Bendigo,3550
Kensington,Metro Inner West,Moonee Valley,3031
Kerang,Other,Gannawarra,3579
Kew,Metro Inner East,Boroondara,3101
Kew East,Metro Inner East,Boroondara,3102
Keysborough,Other,Greater Dandenong,3173
Kialla,Other,Greater Shepparton,3631
Kialla West,Other,Greater Shepparton,3631
Killara,Other,Wodonga,3691
Kilmore,Other,Mitchell,3764
Kilsyth,,,
Kilsyth South,,,
Kings Park,Metro Inner West,Brimbank,3021
Kingsbury,Metro Inner North,Darebin,3083
Kingsville,Metro Inner West,Maribyrnong,3012
Knoxfield,Metro Inner East,Knox,3180
Koo Wee Rup,Metro Outer South,Cardinia,3981
Koondrook,Other,Gannawarra,3580
Kooyong,Metro Inner East,Stonnington,3144
Korumburra,Other,South Gippsland,3950
Kurunjang,Metro Outer West,Melton,3337
Kyabram,Other,Campaspe,3620
Kyneton,Other,Macedon Ranges,3444
Lake Wendouree,Other,Ballarat,3350
Lake Gardens,Other,Ballarat,3355
Lake Tyers Beach,Other,East Gippsland,3909
Lake Wendouree,Other,Ballarat,3350
Lakes Entrance,Other,East Gippsland,3909
Lalor,Metro Outer North,Whittlesea,3075
Lancefield,,,
Lang Lang,,,
Langwarrin,Other,Frankston,3910
Lara,Other,Greater Geelong,3212
Laverton,Metro Inner West,Hobsons Bay,3028
Laverton North,,,
Leongatha,Other,South Gippsland,3953
Leopold,Other,Greater Geelong,3224
Lerderderg,Other,Moorabool,3458
Lexton,Other,Pyrenees,3352
Lilydale,Metro Outer East,Yarra Ranges,3140
Little River,,,
Loch,Other,South Gippsland,3945
Lockington,Other,Campaspe,3563
Long Gully,Other,Greater Bendigo,3550
Longwarry,,,
Lorne,Other,Surf Coast,3232
Lovely Banks,,,
Lower Plenty,Metro Inner North,Banyule,3093
Lucas,Other,Ballarat,3350
Lynbrook,Metro Outer South,Casey,3975
Lyndhurst,Metro Outer South,Casey,3975
Lysterfield,,,
Macedon,Other,Macedon Ranges,3440
Macleod,Metro Inner North,Banyule,3085
Maddingley,Other,Moorabool,3340
Maffra,Other,Wellington,3860
Maiden Gully,,,
Maidstone,Metro Inner West,Maribyrnong,3012
Mallacoota,Other,East Gippsland,3892
Malvern,Metro Inner East,Stonnington,3144
Malvern East,Metro Inner East,Stonnington,3145
Mandurang,Other,Greater Bendigo,3551
Mandurang South,Other,Greater Bendigo,3551
Manifold Heights,Other,Greater Geelong,3218
Manor Lakes,Metro Outer West,Wyndham,3024
Mansfield,Other,Mansfield,3722
Maribyrnong,Metro Inner West,Maribyrnong,3032
Marshall,Other,Greater Geelong,3216
Maryborough,Other,Central Goldfields,3465
McCrae,,,
McKinnon,Metro Inner South,Glen Eira,3204
Meadow Heights,Metro Outer North,Hume,3048
Melbourne,Metro Inner,Melbourne,3000
Melbourne Airport,,,
Melton,Metro Outer West,Melton,3337
Melton South,Metro Outer West,Melton,3338
Melton West,Metro Outer West,Melton,3337
Mentone,Metro Outer South,Kingston,3194
Merbein,Other,Mildura,3505
Mernda,Metro Outer North,Whittlesea,3754
Mickleham,Metro Outer North,Hume,3064
Middle Park,Metro Inner,Port Phillip,3206
Mildura,Other,Mildura,3500
Mill Park,Metro Outer North,Whittlesea,3082
Millgrove,Metro Outer East,Yarra Ranges,3799
Miners Rest,,,
Mitcham,Metro Inner East,Whitehorse,3132
Mitchell Park,,,
Moe,Other,Latrobe,3825
Monbulk,,,
Mont Albert,Metro Inner East,Whitehorse,3127
Mont Albert North,Metro Inner East,Whitehorse,3129
Montmorency,,,
Montrose,Metro Outer East,Yarra Ranges,3765
Moolap,Other,Greater Geelong,3224
Moonee Ponds,Metro Inner West,Moonee Valley,3039
Moorabbin,Metro Outer South,Kingston,3189
Moorabbin Airport,Metro Outer South,Kingston,3194
Mooroolbark,Metro Outer East,Yarra Ranges,3138
Mooroopna,Other,Greater Shepparton,3629
Mordialloc,Metro Outer South,Kingston,3195
Mornington,Metro Outer South,Mornington Peninsula,3931
Morwell,Other,Latrobe,3840
Mount Clear,Other,Ballarat,3350
Mount Dandenong,Metro Outer East,Yarra Ranges,3767
Mount Duneed,Other,Greater Geelong,3217
Mount Eliza,Metro Outer South,Mornington Peninsula,3930
Mount Evelyn,,,
Mount Helen,Other,Ballarat,3350
Mount Martha,Metro Outer South,Mornington Peninsula,3934
Mount Pleasant,,,
Mount Waverley,Metro Inner East,Monash,3149
Mulgrave,Metro Inner East,Monash,3170
Murrumbeena,Metro Inner South,Glen Eira,3163
Myrtleford,Other,Alpine,3737
Nagambie,Other,Strathbogie,3608
Narre Warren,Metro Outer South,Casey,3805
Narre Warren North,,,
Narre Warren South,Metro Outer South,Casey,3805
Nathalia,,,
New Gisborne,Other,Macedon Ranges,3438
Newborough,Other,Latrobe,3825
Newcomb,Other,Greater Geelong,3219
Newhaven,Other,Bass Coast,3925
Newington,Other,Ballarat,3350
Newport,Metro Inner West,Hobsons Bay,3015
Newtown,Other,Greater Geelong,3220
Nhill,,,
Nichols Point,Other,Mildura,3501
Niddrie,Metro Inner West,Moonee Valley,3042
Noble Park,Other,Greater Dandenong,3174
Noble Park North,,,
Norlane,Other,Greater Geelong,3214
Norong,Other,Indigo,3682
North Bendigo,Other,Greater Bendigo,3550
North Geelong,Other,Greater Geelong,3215
North Melbourne,Metro Inner,Melbourne,3051
North Shore,Other,Greater Geelong,3214
North Warrandyte,Metro Outer North,Nillumbik,3113
North Wonthaggi,Other,Bass Coast,3995
Northcote,Metro Inner North,Darebin,3070
Notting Hill,Metro Inner East,Monash,3168
Numurkah,Other,Moira,3636
Nunawading,Metro Inner East,Whitehorse,3131
Oak Park,Metro Inner North,Merri-bek,3046
Oakleigh,Metro Inner East,Monash,3166
Oakleigh East,Metro Inner East,Monash,3166
Oakleigh South,Metro Inner East,Monash,3167
Ocean Grove,Other,Greater Geelong,3226
Officer,Metro Outer South,Cardinia,3809
Orbost,Other,East Gippsland,3888
Ormond,Metro Inner South,Glen Eira,3204
Pakenham,Metro Outer South,Cardinia,3810
Parkdale,Metro Outer South,Kingston,3195
Parkville,Metro Inner,Melbourne,3052
Pascoe Vale,Metro Inner North,Merri-bek,3044
Pascoe Vale South,Metro Inner North,Merri-bek,3044
Pastoria East,Other,Macedon Ranges,3444
Patterson Lakes,Metro Outer South,Kingston,3197
Paynesville,,,
Pearcedale,,,
Pheasant Creek,Other,Murrindindi,3757
Point Cook,Metro Outer West,Wyndham,3030
Porepunkah,Other,Alpine,3740
Port Fairy,Other,Moyne,3284
Port Melbourne,Metro Inner,Port Phillip,3207
Portarlington,Other,Greater Geelong,3223
Portland,Other,Glenelg,3305
Prahran,Metro Inner East,Stonnington,3181
Preston,Metro Inner North,Darebin,3072
Princes Hill,Metro Inner,Yarra,3054
Quarry Hill,Other,Greater Bendigo,3550
Queenscliff,Other,Queenscliffe,3225
Ravenhall,Metro Outer West,Melton,3023
Red Cliffs,Other,Mildura,3496
Redan,,,
Reservoir,Metro Inner North,Darebin,3073
