Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
Metro Inner,Carlton,C Drug offences,C20 Cultivate or manufacture drugs,5
Metro Inner East,Mitcham,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Inner East,Mont Albert North,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Other,Clifton Springs,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Dereel,B Property and deception offences,B40 Theft,5
Other,Lara,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Outer South,Dromana,A Crimes against the person,Other crimes against the person,5
,Tynong North,E Justice procedures offences,E20 Breaches of orders,5
Other,Echuca Village,B Property and deception offences,B30 Burglary/Break and enter,5
Other,Yarragon,A Crimes against the person,Other crimes against the person,5
Other,Highton,E Justice procedures offences,E10 Justice procedures,5
,Inverleigh,B Property and deception offences,B30 Burglary/Break and enter,5
,Hazelwood North,B Property and deception offences,B50 Deception,5
Metro Inner East,Oakleigh East,C Drug offences,C30 Drug use and possession,5
Metro Inner East,Blackburn North,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Wy Yung,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Ventnor,A Crimes against the person,Other crimes against the person,5
Metro Inner West,Niddrie,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Rippleside,A Crimes against the person,A20 Assault and related offences,5
Metro Inner West,Keilor Lodge,B Property and deception offences,B50 Deception,5
Metro Inner East,Upper Ferntree Gully,B Property and deception offences,B50 Deception,5
Other,Darley,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Koyuga,E Justice procedures offences,E20 Breaches of orders,5
Metro Inner West,Delahey,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Inner,Princes Hill,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Inner South,Caulfield North,D Public order and security offences,D10 Weapons and explosives offences,5
,Portland North,B Property and deception offences,B40 Theft,5
Other,Camperdown,C Drug offences,C30 Drug use and possession,5
,Cardigan,E Justice procedures offences,E20 Breaches of orders,5
,Ascot,A Crimes against the person,A20 Assault and related offences,5
,Lockwood,A Crimes against the person,A20 Assault and related offences,5
,Lake Bunga,A Crimes against the person,A20 Assault and related offences,5
Other,Winter Valley,B Property and deception offences,B50 Deception,5
,Wahgunyah,A Crimes against the person,A20 Assault and related offences,5
,Selby,B Property and deception offences,B40 Theft,5
Other,Yarram,B Property and deception offences,B50 Deception,5
Metro Inner East,Donvale,D Public order and security offences,D10 Weapons and explosives offences,5
,Sailors Gully,A Crimes against the person,A20 Assault and related offences,5
Metro Inner,Docklands,B Property and deception offences,B10 Arson,5
Metro Inner West,Spotswood,A Crimes against the person,Other crimes against the person,5
Other,Port Fairy,C Drug offences,C30 Drug use and possession,5
Metro Inner North,Coburg,C Drug offences,C10 Drug dealing and trafficking,5
Metro Outer South,Narre Warren South,B Property and deception offences,B10 Arson,5
,Devon Meadows,A Crimes against the person,A20 Assault and related offences,5
Other,Apollo Bay,B Property and deception offences,B30 Burglary/Break and enter,5
Other,Warracknabeal,B Property and deception offences,B50 Deception,5
,Kalorama,B Property and deception offences,B40 Theft,5
Other,Leopold,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Outer South,Endeavour Hills,D Public order and security offences,D20 Disorderly and offensive conduct,5
,Jan Juc,E Justice procedures offences,E20 Breaches of orders,5
,Casterton,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Outer South,Cranbourne East,B Property and deception offences,B10 Arson,5
,Gruyere,B Property and deception offences,B30 Burglary/Break and enter,5
,Skipton,B Property and deception offences,B40 Theft,5
Metro Outer East,Chirnside Park,B Property and deception offences,B10 Arson,5
Other,Camperdown,A Crimes against the person,Other crimes against the person,5
Other,Wonthaggi,B Property and deception offences,B10 Arson,5
Metro Inner West,Kensington,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Inner South,Chelsea Heights,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Outer South,Dromana,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Other,Beechworth,E Justice procedures offences,E10 Justice procedures,5
,Mortlake,A Crimes against the person,Other crimes against the person,5
Other,Cockatoo,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Metro Outer North,Lalor,C Drug offences,C20 Cultivate or manufacture drugs,5
,Taylor Bay,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Outer North,Roxburgh Park,D Public order and security offences,D30 Public nuisance offences,5
Other,Heathcote,C Drug offences,C30 Drug use and possession,5
Metro Outer North,Diggers Rest,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Outer West,Strathtulloh,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Outer South,Rye,B Property and deception offences,B10 Arson,5
Metro Inner South,Carnegie,D Public order and security offences,D30 Public nuisance offences,5
,Cobden,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Metro Outer South,Cranbourne East,C Drug offences,C10 Drug dealing and trafficking,5
Metro Inner South,Ormond,A Crimes against the person,A50 Robbery,5
Other,Ballarat North,E Justice procedures offences,E10 Justice procedures,5
Metro Outer West,Kurunjang,A Crimes against the person,A50 Robbery,5
,Jindivick,B Property and deception offences,B40 Theft,5
,Waterways,A Crimes against the person,A20 Assault and related offences,5
Metro Inner,Parkville,C Drug offences,C30 Drug use and possession,5
Metro Outer West,Aintree,E Justice procedures offences,E10 Justice procedures,5
Other,Kyneton,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Other,Geelong,B Property and deception offences,B10 Arson,5
Metro Inner North,Greensborough,D Public order and security offences,D30 Public nuisance offences,5
,Branxholme,B Property and deception offences,B40 Theft,5
,Serpentine,B Property and deception offences,B40 Theft,5
Metro Inner North,Heidelberg,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Other,Red Cliffs,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Outer North,Jacana,C Drug offences,C30 Drug use and possession,5
,Woodvale,B Property and deception offences,B40 Theft,5
Metro Outer South,Carrum,D Public order and security offences,D30 Public nuisance offences,5
Metro Outer East,Belgrave,E Justice procedures offences,E10 Justice procedures,5
Metro Inner East,Blackburn,D Public order and security offences,D30 Public nuisance offences,5
Other,Kialla West,B Property and deception offences,B40 Theft,5
Metro Outer West,Williams Landing,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Minyip,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Inner West,St Albans,D Public order and security offences,D30 Public nuisance offences,5
Other,Red Cliffs,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Inner,South Yarra,B Property and deception offences,B10 Arson,5
Other,Glenrowan,B Property and deception offences,B30 Burglary/Break and enter,5
Other,White Hills,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Other,Leopold,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Coldstream,E Justice procedures offences,E20 Breaches of orders,5
Other,Yarram,C Drug offences,C30 Drug use and possession,5
,Toora,A Crimes against the person,A20 Assault and related offences,5
,Marlo,E Justice procedures offences,E20 Breaches of orders,5
,Meredith,A Crimes against the person,Other crimes against the person,5
Other,White Hills,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Metro Outer West,Aintree,A Crimes against the person,Other crimes against the person,5
,Bungal,B Property and deception offences,B40 Theft,5
Other,Longwarry,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Inner East,Chadstone,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Other,Nagambie,B Property and deception offences,B50 Deception,5
,Yuroke,B Property and deception offences,B40 Theft,5
Other,Inverloch,C Drug offences,C30 Drug use and possession,5
Other,Avenel,A Crimes against the person,A20 Assault and related offences,5
Other,Indented Head,A Crimes against the person,A20 Assault and related offences,5
Metro Outer West,Williams Landing,E Justice procedures offences,E10 Justice procedures,5
,Rushworth,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Inner West,Keilor Downs,C Drug offences,C20 Cultivate or manufacture drugs,5
Metro Inner North,Brunswick East,D Public order and security offences,D30 Public nuisance offences,5
Metro Outer South,Sandhurst,E Justice procedures offences,E20 Breaches of orders,5
Other,Yea,C Drug offences,C30 Drug use and possession,5
,Casterton,E Justice procedures offences,E20 Breaches of orders,5
Other,Lucas,A Crimes against the person,Other crimes against the person,5
Metro Inner East,Wantirna,C Drug offences,C10 Drug dealing and trafficking,5
,Dimboola,A Crimes against the person,Other crimes against the person,5
Metro Outer South,Endeavour Hills,C Drug offences,C10 Drug dealing and trafficking,5
Metro Inner North,Brunswick,A Crimes against the person,A50 Robbery,5
Other,Cowes,A Crimes against the person,A50 Robbery,5
Other,Terang,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Inner North,Watsonia North,B Property and deception offences,B30 Burglary/Break and enter,5
Other,Stawell,C Drug offences,C10 Drug dealing and trafficking,5
Other,Frankston North,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Other,Heathcote,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Outer North,Kalkallo,A Crimes against the person,Other crimes against the person,5
,Kalorama,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Outer South,Cranbourne North,D Public order and security offences,D30 Public nuisance offences,5
,Great Western,A Crimes against the person,A20 Assault and related offences,5
,Deanside,C Drug offences,C30 Drug use and possession,5
,Nyah West,E Justice procedures offences,E20 Breaches of orders,5
Other,Lang Lang,D Public order and security offences,D10 Weapons and explosives offences,5
Other,Benalla,B Property and deception offences,B10 Arson,5
,Wy Yung,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Inner North,Heidelberg West,C Drug offences,C20 Cultivate or manufacture drugs,5
,Clarkefield,B Property and deception offences,B40 Theft,5
Other,Geelong,C Drug offences,C20 Cultivate or manufacture drugs,5
Metro Inner West,Ardeer,E Justice procedures offences,E10 Justice procedures,5
Other,Belmont,D Public order and security offences,D20 Disorderly and offensive conduct,5
,Borung,A Crimes against the person,A20 Assault and related offences,5
Metro Inner,Cremorne,D Public order and security offences,D20 Disorderly and offensive conduct,5
,Bailieston,B Property and deception offences,B20 Property damage,5
,Lethbridge,A Crimes against the person,A20 Assault and related offences,5
,Woodside,B Property and deception offences,B40 Theft,5
,Monegeetta,B Property and deception offences,B40 Theft,5
,Venus Bay,A Crimes against the person,A20 Assault and related offences,5
Other,Ocean Grove,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Lindenow,A Crimes against the person,A20 Assault and related offences,5
Other,Eaglehawk,C Drug offences,C30 Drug use and possession,5
Other,Trafalgar,D Public order and security offences,D20 Disorderly and offensive conduct,5
,Great Western,E Justice procedures offences,E10 Justice procedures,5
,Hernes Oak,E Justice procedures offences,E20 Breaches of orders,5
,Big Hill,B Property and deception offences,B40 Theft,5
Metro Inner East,Mont Albert,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Inner East,Blackburn North,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Outer East,Lysterfield,A Crimes against the person,Other crimes against the person,5
Other,Yarragon,E Justice procedures offences,E10 Justice procedures,5
Other,Merbein,B Property and deception offences,B50 Deception,5
Metro Outer South,Bonbeach,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Outer South,Tyabb,B Property and deception offences,B50 Deception,5
Other,Robinvale,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Clarkefield,B Property and deception offences,B20 Property damage,5
Metro Outer South,Crib Point,B Property and deception offences,B50 Deception,5
,Yinnar South,E Justice procedures offences,E20 Breaches of orders,5
Metro Inner East,Ringwood East,D Public order and security offences,D20 Disorderly and offensive conduct,5
,Wargan,A Crimes against the person,A20 Assault and related offences,5
Metro Inner,Balaclava,E Justice procedures offences,E10 Justice procedures,5
Metro Outer South,Rye,D Public order and security offences,D30 Public nuisance offences,5
Metro Outer South,Koo Wee Rup,D Public order and security offences,D10 Weapons and explosives offences,5
,Bulla,E Justice procedures offences,E10 Justice procedures,5
,Junortoun,B Property and deception offences,B20 Property damage,5
Metro Inner East,Wantirna,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Inner West,Albion,E Justice procedures offences,E10 Justice procedures,5
,Merrigum,E Justice procedures offences,E20 Breaches of orders,5
Other,Moolap,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Irrewarra,B Property and deception offences,B40 Theft,5
,Beaconsfield Upper,A Crimes against the person,Other crimes against the person,5
Metro Outer West,Fraser Rise,E Justice procedures offences,E10 Justice procedures,5
Other,Eaglehawk,B Property and deception offences,B10 Arson,5
,Bunyip,B Property and deception offences,B50 Deception,5
Metro Inner,Parkville,D Public order and security offences,D30 Public nuisance offences,5
Other,Anglesea,E Justice procedures offences,E20 Breaches of orders,5
Other,Kialla,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Outer South,Narre Warren North,A Crimes against the person,Other crimes against the person,5
,Murchison,B Property and deception offences,B30 Burglary/Break and enter,5
,St Andrews,E Justice procedures offences,E20 Breaches of orders,5
Metro Outer East,Mount Dandenong,B Property and deception offences,B40 Theft,5
,Sunderland Bay,A Crimes against the person,A20 Assault and related offences,5
Metro Outer South,Cranbourne East,D Public order and security offences,D30 Public nuisance offences,5
Metro Outer West,Melton,D Public order and security offences,D30 Public nuisance offences,5
,Somers,E Justice procedures offences,E20 Breaches of orders,5
Metro Outer South,Doveton,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Badger Creek,B Property and deception offences,B40 Theft,5
,Tangambalanga,E Justice procedures offences,E20 Breaches of orders,5
,Shepparton East,E Justice procedures offences,E20 Breaches of orders,5
Metro Inner North,Kingsbury,A Crimes against the person,Other crimes against the person,5
Other,Belmont,A Crimes against the person,A50 Robbery,5
Other,Sebastopol,D Public order and security offences,D20 Disorderly and offensive conduct,5
Other,Thomson,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Merricks Beach,B Property and deception offences,B40 Theft,5
,Wallington,A Crimes against the person,A20 Assault and related offences,5
Other,Bell Park,C Drug offences,C10 Drug dealing and trafficking,5
Other,Herne Hill,D Public order and security offences,D10 Weapons and explosives offences,5
,Rushworth,B Property and deception offences,B50 Deception,5
,Bulla,C Drug offences,C30 Drug use and possession,5
Metro Inner East,Wantirna South,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Inner West,Laverton,D Public order and security offences,D30 Public nuisance offences,5
Metro Inner East,Box Hill North,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Other,New Gisborne,A Crimes against the person,A20 Assault and related offences,5
,Shepparton North,A Crimes against the person,A20 Assault and related offences,5
Other,Drouin,A Crimes against the person,A50 Robbery,5
Metro Outer North,Campbellfield,A Crimes against the person,A50 Robbery,5
Metro Outer North,Roxburgh Park,C Drug offences,C10 Drug dealing and trafficking,5
,Boneo,B Property and deception offences,B40 Theft,5
Metro Outer North,Mickleham,C Drug offences,C30 Drug use and possession,5
Other,Armstrong Creek,D Public order and security offences,D10 Weapons and explosives offences,5
Other,Creswick,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Inner East,Ashburton,B Property and deception offences,B10 Arson,5
Other,Newhaven,B Property and deception offences,B20 Property damage,5
Metro Outer South,Tooradin,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Inner East,Malvern East,B Property and deception offences,B10 Arson,5
Metro Inner,St Kilda West,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Other,Mount Pleasant,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Outer West,Williams Landing,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Eureka,A Crimes against the person,A20 Assault and related offences,5
,Loch Sport,A Crimes against the person,A20 Assault and related offences,5
,Badger Creek,E Justice procedures offences,E20 Breaches of orders,5
,Longford,B Property and deception offences,B40 Theft,5
Other,Mooroopna,D Public order and security offences,D20 Disorderly and offensive conduct,5
,Darnum,A Crimes against the person,Other crimes against the person,5
Metro Inner West,Seabrook,C Drug offences,C30 Drug use and possession,5
Metro Outer West,Thornhill Park,C Drug offences,C20 Cultivate or manufacture drugs,5
,Bass,E Justice procedures offences,E20 Breaches of orders,5
Other,Lara,C Drug offences,C20 Cultivate or manufacture drugs,5
Other,Cowes,C Drug offences,C30 Drug use and possession,5
,Mafeking,B Property and deception offences,B40 Theft,5
Metro Inner,Middle Park,B Property and deception offences,B50 Deception,5
,Plenty,B Property and deception offences,B50 Deception,5
,Brodribb River,B Property and deception offences,B40 Theft,5
,Woodvale,A Crimes against the person,A20 Assault and related offences,5
Other,Huntly,B Property and deception offences,B50 Deception,5
Metro Inner East,Malvern East,C Drug offences,C10 Drug dealing and trafficking,5
Metro Outer South,Safety Beach,E Justice procedures offences,E10 Justice procedures,5
,Kaniva,A Crimes against the person,Other crimes against the person,5
,Elmore,E Justice procedures offences,E20 Breaches of orders,5
Other,Heathcote,B Property and deception offences,B50 Deception,5
Other,Eaglehawk,C Drug offences,C10 Drug dealing and trafficking,5
Metro Inner East,Rowville,B Property and deception offences,B10 Arson,5
Metro Outer South,Officer,B Property and deception offences,B10 Arson,5
,Attwood,B Property and deception offences,B20 Property damage,5
Metro Outer South,Endeavour Hills,B Property and deception offences,B10 Arson,5
,Yinnar,E Justice procedures offences,E20 Breaches of orders,5
Metro Inner South,Black Rock,F Other offences,F20 Transport regulation offences,5
,Rupanyup,E Justice procedures offences,E20 Breaches of orders,5
Other,Grovedale,D Public order and security offences,D30 Public nuisance offences,5
Metro Inner East,Mount Waverley,A Crimes against the person,A50 Robbery,5
Other,Traralgon East,A Crimes against the person,A20 Assault and related offences,5
,Harkaway,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Outer North,Mill Park,B Property and deception offences,B10 Arson,5
Metro Inner West,Keilor Park,C Drug offences,C30 Drug use and possession,5
,Orrvale,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Inner,South Wharf,E Justice procedures offences,E20 Breaches of orders,5
Other,Cobram,D Public order and security offences,D30 Public nuisance offences,5
,Kallista,A Crimes against the person,A20 Assault and related offences,5
Metro Outer North,Keilor,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Inner,Clifton Hill,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Other,East Bairnsdale,D Public order and security offences,D10 Weapons and explosives offences,5
,Donald,A Crimes against the person,A20 Assault and related offences,5
Metro Inner,Cremorne,E Justice procedures offences,E20 Breaches of orders,5
,Jindivick,B Property and deception offences,B20 Property damage,5
,Batesford,E Justice procedures offences,E20 Breaches of orders,5
,Koonwarra,B Property and deception offences,B40 Theft,5
Metro Inner East,Hughesdale,A Crimes against the person,Other crimes against the person,5
Metro Outer North,Melbourne CBD Airport,A Crimes against the person,Other crimes against the person,5
Metro Outer North,Doreen,C Drug offences,C30 Drug use and possession,5
Metro Inner West,Williamstown North,C Drug offences,C30 Drug use and possession,5
Other,Drouin,C Drug offences,C20 Cultivate or manufacture drugs,5
,Bulla,A Crimes against the person,A20 Assault and related offences,5
,Mannibadar,B Property and deception offences,B40 Theft,5
Metro Inner West,Sydenham,E Justice procedures offences,E10 Justice procedures,5
,Coldstream,B Property and deception offences,B50 Deception,5
Metro Inner South,Brighton,C Drug offences,C10 Drug dealing and trafficking,5
Metro Inner South,Braeside,E Justice procedures offences,E20 Breaches of orders,5
Other,Korumburra,B Property and deception offences,B50 Deception,5
Metro Inner East,Surrey Hills,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Connewarre,E Justice procedures offences,E20 Breaches of orders,5
Metro Outer South,Dromana,C Drug offences,C20 Cultivate or manufacture drugs,5
Other,Yarram,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Outer South,Bittern,B Property and deception offences,B50 Deception,5
Metro Outer North,Dallas,B Property and deception offences,B10 Arson,5
Other,Newcomb,C Drug offences,C30 Drug use and possession,5
Other,Creswick,E Justice procedures offences,E10 Justice procedures,5
Other,North Shore,C Drug offences,C30 Drug use and possession,5
Other,Rosedale,E Justice procedures offences,E10 Justice procedures,5
Metro Outer East,Montrose,B Property and deception offences,B10 Arson,5
Metro Outer South,Sorrento,A Crimes against the person,Other crimes against the person,5
Other,Bell Park,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Metro Inner East,Oakleigh South,E Justice procedures offences,E10 Justice procedures,5
Other,Longwarry,E Justice procedures offences,E10 Justice procedures,5
,Lysterfield South,E Justice procedures offences,E20 Breaches of orders,5
Metro Inner,Carlton North,E Justice procedures offences,E10 Justice procedures,5
,Sherbrooke,B Property and deception offences,B40 Theft,5
Other,Nhill,B Property and deception offences,B50 Deception,5
,Selby,B Property and deception offences,B20 Property damage,5
Other,Rosedale,D Public order and security offences,D10 Weapons and explosives offences,5
Other,Riddells Creek,E Justice procedures offences,E10 Justice procedures,5
Other,Drouin,B Property and deception offences,B10 Arson,5
Other,Castlemaine,C Drug offences,C20 Cultivate or manufacture drugs,5
,Tanjil South,A Crimes against the person,Other crimes against the person,5
,Sebastian,A Crimes against the person,A20 Assault and related offences,5
Metro Inner East,Kew,D Public order and security offences,D30 Public nuisance offences,5
Metro Outer West,Ravenhall,A Crimes against the person,Other crimes against the person,5
Other,Ironbark,A Crimes against the person,Other crimes against the person,5
Other,Ballan,B Property and deception offences,B10 Arson,5
Metro Outer West,Melton South,B Property and deception offences,B10 Arson,5
Metro Outer East,Millgrove,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
,Garfield,E Justice procedures offences,E20 Breaches of orders,5
,Wonga Park,A Crimes against the person,Other crimes against the person,5
,Yackandandah,A Crimes against the person,A20 Assault and related offences,5
Other,Numurkah,A Crimes against the person,Other crimes against the person,5
Metro Inner East,Templestowe Lower,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Inner South,Bentleigh,E Justice procedures offences,E10 Justice procedures,5
,Mount Macedon,B Property and deception offences,B40 Theft,5
Metro Inner East,Scoresby,C Drug offences,C20 Cultivate or manufacture drugs,5
,Glenlyon,B Property and deception offences,B30 Burglary/Break and enter,5
Other,Lovely Banks,B Property and deception offences,B10 Arson,5
Metro Inner North,Viewbank,A Crimes against the person,Other crimes against the person,5
Metro Inner East,Warranwood,B Property and deception offences,B40 Theft,5
Metro Inner West,Derrimut,A Crimes against the person,Other crimes against the person,5
Metro Outer South,Dingley Village,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Outer North,Keilor,E Justice procedures offences,E10 Justice procedures,5
,Wildwood,A Crimes against the person,A20 Assault and related offences,5
Metro Outer South,Bittern,A Crimes against the person,Other crimes against the person,5
Other,Macedon,A Crimes against the person,A20 Assault and related offences,5
Metro Inner East,Mount Waverley,C Drug offences,C20 Cultivate or manufacture drugs,5
Metro Outer South,Patterson Lakes,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Inner North,Bundoora,D Public order and security offences,D30 Public nuisance offences,5
Metro Outer North,Greenvale,D Public order and security offences,D30 Public nuisance offences,5
Metro Inner West,Kingsville,D Public order and security offences,D30 Public nuisance offences,5
,Katunga,A Crimes against the person,A20 Assault and related offences,5
,Skipton,B Property and deception offences,B20 Property damage,5
Metro Inner East,Burwood,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Other,South Geelong,A Crimes against the person,Other crimes against the person,5
,Drouin West,A Crimes against the person,A20 Assault and related offences,5
Metro Inner South,Hampton East,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Outer South,Bittern,A Crimes against the person,A20 Assault and related offences,5
,Napoleons,B Property and deception offences,B40 Theft,5
,Goughs Bay,A Crimes against the person,A20 Assault and related offences,5
Metro Outer North,Meadow Heights,C Drug offences,C10 Drug dealing and trafficking,5
,Whitfield,B Property and deception offences,B40 Theft,5
Metro Outer North,Greenvale,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Inner South,Chelsea Heights,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Inner West,Albanvale,C Drug offences,C30 Drug use and possession,5
Other,Lake Tyers Beach,A Crimes against the person,A20 Assault and related offences,5
Metro Inner North,Pascoe Vale South,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Inner,Flemington,A Crimes against the person,A50 Robbery,5
,Murrayville,B Property and deception offences,B20 Property damage,5
Metro Outer South,Cranbourne West,A Crimes against the person,A50 Robbery,5
Metro Inner North,Viewbank,C Drug offences,C30 Drug use and possession,5
,Pakenham Upper,E Justice procedures offences,E20 Breaches of orders,5
,Nicholson,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Inner West,Yarraville,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Outer South,Chelsea,C Drug offences,C20 Cultivate or manufacture drugs,5
Metro Outer North,Roxburgh Park,D Public order and security offences,D20 Disorderly and offensive conduct,5
,Katamatite,E Justice procedures offences,E20 Breaches of orders,5
Metro Outer East,Upwey,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Outer East,Upwey,C Drug offences,C30 Drug use and possession,5
Metro Inner East,Blackburn South,D Public order and security offences,D10 Weapons and explosives offences,5
Other,Merbein,D Public order and security offences,D10 Weapons and explosives offences,5
Other,Lakes Entrance,C Drug offences,C10 Drug dealing and trafficking,5
Other,Mount Duneed,D Public order and security offences,D20 Disorderly and offensive conduct,5
Metro Inner East,The Basin,B Property and deception offences,B50 Deception,5
Metro Outer South,Moorabbin,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Inner North,Brunswick,C Drug offences,C10 Drug dealing and trafficking,5
Metro Outer South,Cranbourne South,B Property and deception offences,B50 Deception,5
Other,Yallourn North,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Apsley,E Justice procedures offences,E20 Breaches of orders,5
Metro Inner West,Maidstone,B Property and deception offences,B10 Arson,5
Other,Beveridge,B Property and deception offences,B10 Arson,5
Metro Outer South,Narre Warren North,B Property and deception offences,B10 Arson,5
Metro Outer South,Lynbrook,A Crimes against the person,A50 Robbery,5
Metro Inner,Albert Park,D Public order and security offences,D10 Weapons and explosives offences,5
Metro Inner East,Malvern East,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Other,East Bairnsdale,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
Metro Inner West,Cairnlea,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",5
Other,Colac,C Drug offences,C20 Cultivate or manufacture drugs,5
Other,Campbells Creek,B Property and deception offences,B20 Property damage,5
Metro Inner West,Keilor East,D Public order and security offences,D10 Weapons and explosives offences,5
,Buchan South,E Justice procedures offences,E20 Breaches of orders,5
Metro Outer South,Carrum,C Drug offences,C10 Drug dealing and trafficking,5
Other,Langwarrin,A Crimes against the person,A80 Dangerous and negligent acts endangering people,5
,Baranduda,B Property and deception offences,B20 Property damage,5
Metro Inner East,Malvern,E Justice procedures offences,E10 Justice procedures,5
Other,Orbost,D Public order and security offences,D10 Weapons and explosives offences,5
,Wallace,B Property and deception offences,B40 Theft,5
,Sunset Strip,E Justice procedures offences,E20 Breaches of orders,5
Metro Inner,Albert Park,D Public order and security offences,D30 Public nuisance offences,5
,Kalimna,B Property and deception offences,B20 Property damage,5
Other,Campbells Creek,B Property and deception offences,B30 Burglary/Break and enter,5
Metro Inner South,Bentleigh East,C Drug offences,C10 Drug dealing and trafficking,5
,Huon Creek,B Property and deception offences,B40 Theft,5
,Gowanbrae,E Justice procedures offences,E20 Breaches of orders,5
Other,Golden Point,A Crimes against the person,A20 Assault and related offences,5
Metro Inner North,Rosanna,E Justice procedures offences,E10 Justice procedures,5
,Invermay,B Property and deception offences,B40 Theft,5
,South Dudley,B Property and deception offences,B20 Property damage,5
Other,Smythes Creek,A Crimes against the person,A20 Assault and related offences,5
Metro Outer South,McCrae,B Property and deception offences,B50 Deception,5
,Yinnar,B Property and deception offences,B30 Burglary/Break and enter,5
