Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
Metro Outer North,Tullamarine,B Property and deception offences,B40 Theft,364
Metro Outer South,Rosebud,B Property and deception offences,B40 Theft,360
Other,Frankston,B Property and deception offences,B30 Burglary/Break and enter,359
Metro Inner West,St Albans,A Crimes against the person,A20 Assault and related offences,356
Metro Inner East,Glen Waverley,B Property and deception offences,B30 Burglary/Break and enter,356
Metro Inner,St Kilda,A Crimes against the person,A20 Assault and related offences,354
Other,Corio,E Justice procedures offences,E20 Breaches of orders,349
Metro Outer South,Hampton Park,B Property and deception offences,B40 Theft,348
Metro Inner West,Altona North,B Property and deception offences,B40 Theft,348
Metro Inner East,Boronia,B Property and deception offences,B40 Theft,347
Other,Wangaratta,B Property and deception offences,B40 Theft,346
Metro Outer South,Endeavour Hills,B Property and deception offences,B40 Theft,344
Metro Inner South,Bentleigh,B Property and deception offences,B40 Theft,344
Metro Inner North,Reservoir,A Crimes against the person,A20 Assault and related offences,341
Metro Inner,Melbourne CBD,A Crimes against the person,Other crimes against the person,338
Metro Inner South,Highett,B Property and deception offences,B40 Theft,338
Metro Outer West,Wyndham Vale,A Crimes against the person,A20 Assault and related offences,338
Metro Inner West,Kensington,B Property and deception offences,B40 Theft,337
Metro Inner West,Footscray,A Crimes against the person,A20 Assault and related offences,336
Metro Outer West,Tarneit,A Crimes against the person,A20 Assault and related offences,335
Other,Sebastopol,B Property and deception offences,B40 Theft,333
Metro Inner East,Croydon,B Property and deception offences,B40 Theft,333
Metro Outer South,Cranbourne North,B Property and deception offences,B40 Theft,332
Metro Inner,Southbank,A Crimes against the person,A20 Assault and related offences,332
Other,Kangaroo Flat,B Property and deception offences,B40 Theft,332
Metro Outer South,Officer,B Property and deception offences,B40 Theft,330
Metro Outer South,Clayton South,B Property and deception offences,B40 Theft,330
Other,West Wodonga,B Property and deception offences,B40 Theft,329
Metro Inner East,Hawthorn East,B Property and deception offences,B40 Theft,326
Metro Outer West,Werribee,B Property and deception offences,B20 Property damage,325
Metro Inner,Elwood,B Property and deception offences,B40 Theft,324
Metro Inner East,Glen Iris,B Property and deception offences,B40 Theft,323
Metro Inner,St Kilda,B Property and deception offences,B20 Property damage,321
Other,Traralgon,A Crimes against the person,A20 Assault and related offences,320
Metro Outer South,Berwick,A Crimes against the person,A20 Assault and related offences,320
Other,Sale,E Justice procedures offences,E20 Breaches of orders,320
Metro Inner East,Blackburn,B Property and deception offences,B40 Theft,319
Metro Inner,St Kilda,E Justice procedures offences,E20 Breaches of orders,318
Other,Wangaratta,E Justice procedures offences,E20 Breaches of orders,316
Metro Inner West,Maidstone,B Property and deception offences,B40 Theft,312
Metro Inner,Albert Park,B Property and deception offences,B40 Theft,311
Metro Inner,East Melbourne CBD,B Property and deception offences,B40 Theft,309
Metro Inner,South Yarra,B Property and deception offences,B30 Burglary/Break and enter,308
Metro Outer South,Narre Warren South,B Property and deception offences,B40 Theft,308
Metro Inner North,Reservoir,B Property and deception offences,B20 Property damage,308
Metro Inner East,Burwood,B Property and deception offences,B40 Theft,307
Metro Inner South,Caulfield North,B Property and deception offences,B40 Theft,306
Metro Inner North,Preston,B Property and deception offences,B20 Property damage,306
Metro Inner,Windsor,B Property and deception offences,B40 Theft,305
Other,Dandenong,B Property and deception offences,B30 Burglary/Break and enter,305
Metro Outer South,Hastings,B Property and deception offences,B40 Theft,305
Other,Warragul,E Justice procedures offences,E20 Breaches of orders,304
Metro Outer West,Melton West,B Property and deception offences,B40 Theft,304
Metro Inner West,Footscray,B Property and deception offences,B20 Property damage,303
Other,Bairnsdale,E Justice procedures offences,E20 Breaches of orders,300
Other,Norlane,E Justice procedures offences,E20 Breaches of orders,300
Metro Inner North,Preston,B Property and deception offences,B50 Deception,300
Metro Outer East,Lilydale,B Property and deception offences,B40 Theft,299
Metro Outer South,Cranbourne,A Crimes against the person,A20 Assault and related offences,299
Metro Outer West,Laverton North,B Property and deception offences,B40 Theft,298
Other,Sale,B Property and deception offences,B40 Theft,298
Metro Inner North,Ivanhoe,B Property and deception offences,B40 Theft,297
Other,Bairnsdale,B Property and deception offences,B40 Theft,296
Other,Warrnambool,A Crimes against the person,A20 Assault and related offences,296
Metro Inner North,Preston,B Property and deception offences,B30 Burglary/Break and enter,295
Metro Outer South,Doveton,B Property and deception offences,B40 Theft,291
Metro Inner North,Reservoir,B Property and deception offences,B30 Burglary/Break and enter,291
Metro Inner North,Coburg North,B Property and deception offences,B40 Theft,289
Metro Inner North,Preston,A Crimes against the person,A20 Assault and related offences,289
Metro Inner East,Armadale,B Property and deception offences,B40 Theft,286
Metro Outer South,Moorabbin,B Property and deception offences,B40 Theft,286
Metro Inner,South Melbourne CBD,B Property and deception offences,B30 Burglary/Break and enter,284
Metro Inner East,Toorak,B Property and deception offences,B40 Theft,283
Other,Morwell,B Property and deception offences,B20 Property damage,278
