Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Wyndham,3029,Truganina,B Property and deception offences,B40 Theft,546,363,-33.51648351648352,-183
Hume,3429,Sunbury,B Property and deception offences,B40 Theft,545,830,52.293577981651374,285
Warrnambool,3280,Warrnambool,E Justice procedures offences,E20 Breaches of orders,539,456,-15.398886827458258,-83
Mildura,3500,Mildura,B Property and deception offences,B20 Property damage,538,483,-10.223048327137551,-55
Frankston,3201,Carrum Downs,B Property and deception offences,B40 Theft,533,708,32.83302063789868,175
Frankston,3199,Frankston,B Property and deception offences,B20 Property damage,531,632,19.02071563088512,101
Wyndham,3030,Werribee,A Crimes against the person,A20 Assault and related offences,526,489,-7.034220532319391,-37
Ballarat,3355,Wendouree,B Property and deception offences,B40 Theft,526,649,23.384030418250944,123
Casey,3978,Clyde North,B Property and deception offences,B40 Theft,513,769,49.902534113060426,256
Melbourne,3004,Melbourne,E Justice procedures offences,E20 Breaches of orders,511,360,-29.549902152641884,-151
Melbourne,3004,Melbourne,E Justice procedures offences,E20 Breaches of orders,511,18,-96.4774951076321,-493
Knox,3178,Rowville,B Property and deception offences,B40 Theft,511,569,11.350293542074375,58
Darebin,3071,Thornbury,B Property and deception offences,B40 Theft,509,832,63.45776031434185,323
Melton,3337,Melton,B Property and deception offences,B40 Theft,509,634,24.557956777996083,125
Knox,3152,Wantirna South,B Property and deception offences,B40 Theft,506,866,71.14624505928853,360
Greater Bendigo,3550,Bendigo,E Justice procedures offences,E20 Breaches of orders,505,485,-3.960396039603964,-20
Greater Shepparton,3630,Shepparton,A Crimes against the person,A20 Assault and related offences,505,604,19.6039603960396,99
Hume,3061,Campbellfield,B Property and deception offences,B40 Theft,491,712,45.010183299389,221
Maribyrnong,3019,Braybrook,B Property and deception offences,B40 Theft,488,643,31.762295081967217,155
Ballarat,3350,Ballarat Central,E Justice procedures offences,E20 Breaches of orders,477,457,-4.192872117400414,-20
Yarra,3067,Abbotsford,B Property and deception offences,B40 Theft,469,625,33.26226012793177,156
Bayside,3186,Brighton,B Property and deception offences,B40 Theft,465,572,23.010752688172055,107
Warrnambool,3280,Warrnambool,B Property and deception offences,B40 Theft,458,806,75.9825327510917,348
Boroondara,3101,Kew,B Property and deception offences,B40 Theft,447,748,67.33780760626398,301
Darebin,3073,Reservoir,E Justice procedures offences,E20 Breaches of orders,447,389,-12.975391498881429,-58
Mornington Peninsula,3931,Mornington,B Property and deception offences,B40 Theft,442,718,62.44343891402715,276
Yarra,3068,Fitzroy North,B Property and deception offences,B40 Theft,437,538,23.11212814645309,101
Yarra,3068,Fitzroy North,B Property and deception offences,B40 Theft,437,24,-94.50800915331807,-413
Glen Eira,3163,Carnegie,B Property and deception offences,B40 Theft,436,473,8.486238532110102,37
Latrobe,3844,Traralgon,E Justice procedures offences,E20 Breaches of orders,435,374,-14.022988505747126,-61
Moonee Valley,3040,Essendon,B Property and deception offences,B40 Theft,435,662,52.18390804597701,227
Greater Dandenong,3175,Dandenong South,B Property and deception offences,B40 Theft,432,674,56.01851851851851,242
Latrobe,3840,Morwell,A Crimes against the person,A20 Assault and related offences,431,451,4.640371229698381,20
Mildura,3500,Mildura,B Property and deception offences,B30 Burglary/Break and enter,428,412,-3.738317757009346,-16
Whittlesea,3083,Bundoora,B Property and deception offences,B40 Theft,424,745,75.70754716981132,321
Whittlesea,3083,Bundoora,B Property and deception offences,B40 Theft,424,345,-18.632075471698116,-79
Whittlesea,3083,Bundoora,B Property and deception offences,B40 Theft,424,199,-53.06603773584906,-225
Merri-bek,3046,Glenroy,B Property and deception offences,B40 Theft,424,778,83.49056603773586,354
Greater Shepparton,3630,Shepparton,B Property and deception offences,B20 Property damage,424,478,12.735849056603765,54
Brimbank,3023,Deer Park,B Property and deception offences,B40 Theft,418,484,15.789473684210531,66
Cardinia,3810,Pakenham,E Justice procedures offences,E20 Breaches of orders,418,369,-11.722488038277511,-49
Campaspe,3564,Echuca,E Justice procedures offences,E20 Breaches of orders,417,273,-34.53237410071942,-144
Knox,3156,Ferntree Gully,B Property and deception offences,B40 Theft,417,537,28.776978417266186,120
Brimbank,3038,Taylors Lakes,B Property and deception offences,B40 Theft,414,523,26.328502415458942,109
Greater Dandenong,3175,Dandenong,B Property and deception offences,B20 Property damage,413,643,55.690072639225185,230
Melbourne,3004,Melbourne,B Property and deception offences,B40 Theft,411,472,14.841849148418484,61
Melbourne,3004,Melbourne,B Property and deception offences,B40 Theft,411,270,-34.306569343065696,-141
Melbourne,3052,Parkville,B Property and deception offences,B40 Theft,410,576,40.48780487804877,166
Hume,3045,Melbourne Airport,B Property and deception offences,B40 Theft,407,677,66.33906633906635,270
Merri-bek,3055,Brunswick West,B Property and deception offences,B40 Theft,406,497,22.413793103448263,91
Cardinia,3810,Pakenham,A Crimes against the person,A20 Assault and related offences,401,414,3.2418952618453956,13
Darebin,3072,Preston,E Justice procedures offences,E20 Breaches of orders,401,249,-37.905236907730675,-152
Maribyrnong,3012,West Footscray,B Property and deception offences,B40 Theft,401,423,5.486284289276799,22
Horsham,3400,Horsham,E Justice procedures offences,E20 Breaches of orders,396,357,-9.848484848484851,-39
Whittlesea,3082,Mill Park,B Property and deception offences,B40 Theft,392,619,57.90816326530612,227
Baw Baw,3820,Warragul,B Property and deception offences,B40 Theft,392,683,74.23469387755102,291
Whitehorse,3132,Mitcham,B Property and deception offences,B40 Theft,392,513,30.86734693877551,121
Melbourne,3000,Melbourne,D Public order and security offences,D20 Disorderly and offensive conduct,388,239,-38.4020618556701,-149
Casey,3803,Hallam,B Property and deception offences,B40 Theft,386,465,20.46632124352332,79
Banyule,3088,Greensborough,B Property and deception offences,B40 Theft,386,597,54.663212435233156,211
Banyule,3088,Greensborough,B Property and deception offences,B40 Theft,386,56,-85.49222797927462,-330
Merri-bek,3057,Brunswick East,B Property and deception offences,B40 Theft,385,547,42.07792207792207,162
Brimbank,3020,Sunshine West,B Property and deception offences,B40 Theft,385,515,33.76623376623375,130
Moonee Valley,3042,Airport West,B Property and deception offences,B40 Theft,385,448,16.36363636363636,63
Wodonga,3690,Wodonga,E Justice procedures offences,E20 Breaches of orders,384,446,16.145833333333325,62
