Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Banyule,3094,Montmorency,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,6,,2
Surf Coast,3228,Bellbrae,B Property and deception offences,B50 Deception,4,3,,-1
Melbourne,3052,Melbourne,B Property and deception offences,B30 Burglary/Break and enter,4,11,,7
Merri-bek,3044,Pascoe Vale South,C Drug offences,C30 Drug use and possession,4,9,,5
Darebin,3083,Kingsbury,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,6,,2
Banyule,3079,Ivanhoe,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,10,,6
Yarra,3067,Abbotsford,D Public order and security offences,D30 Public nuisance offences,4,10,,6
Brimbank,3036,Keilor,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,10,,6
Bass Coast,3992,Dalyston,B Property and deception offences,B30 Burglary/Break and enter,4,2,,-2
Hume,3064,Mickleham,D Public order and security offences,D30 Public nuisance offences,4,6,,2
Greater Shepparton,3618,Merrigum,B Property and deception offences,B30 Burglary/Break and enter,4,6,,2
Stonnington,3144,Malvern,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,6,,2
Melbourne,3052,Parkville,D Public order and security offences,D20 Disorderly and offensive conduct,4,4,,0
Mildura,3496,Red Cliffs,B Property and deception offences,B10 Arson,4,,,
Frankston,3977,Skye,C Drug offences,C30 Drug use and possession,4,11,,7
Hume,3428,Bulla,E Justice procedures offences,E20 Breaches of orders,4,5,,1
Cardinia,3810,Pakenham South,B Property and deception offences,B40 Theft,4,9,,5
Casey,3977,Cranbourne South,E Justice procedures offences,E20 Breaches of orders,4,24,,20
Yarra Ranges,3799,Warburton,D Public order and security offences,D10 Weapons and explosives offences,4,2,,-2
Glenelg,3303,Condah,E Justice procedures offences,E20 Breaches of orders,4,1,,-3
Moyne,3282,Koroit,C Drug offences,C30 Drug use and possession,4,,,
Banyule,3085,Macleod,A Crimes against the person,Other crimes against the person,4,5,,1
Banyule,3085,Macleod,A Crimes against the person,Other crimes against the person,4,1,,-3
Port Phillip,3182,St Kilda West,E Justice procedures offences,E10 Justice procedures,4,6,,2
Wyndham,3029,Hoppers Crossing,F Other offences,F30 Other government regulatory offences,4,1,,-3
Strathbogie,3666,Miepoll,E Justice procedures offences,E20 Breaches of orders,4,,,
Yarra Ranges,3770,Gruyere,B Property and deception offences,B20 Property damage,4,2,,-2
Bass Coast,3925,San Remo,B Property and deception offences,B20 Property damage,4,24,,20
Whittlesea,3074,Thomastown,C Drug offences,C20 Cultivate or manufacture drugs,4,12,,8
Greater Bendigo,3555,Golden Gully,B Property and deception offences,B30 Burglary/Break and enter,4,13,,9
Campaspe,3562,Torrumbarry,B Property and deception offences,B30 Burglary/Break and enter,4,4,,0
Cardinia,3815,Bunyip,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,5,,1
Maribyrnong,3032,Maribyrnong,C Drug offences,C20 Cultivate or manufacture drugs,4,3,,-1
Whitehorse,3132,Mitcham,A Crimes against the person,A50 Robbery,4,11,,7
Manningham,3108,Doncaster,D Public order and security offences,D30 Public nuisance offences,4,6,,2
Moira,3639,Picola,B Property and deception offences,B40 Theft,4,2,,-2
Monash,3150,Wheelers Hill,B Property and deception offences,B10 Arson,4,,,
Brimbank,3020,Sunshine West,D Public order and security offences,D30 Public nuisance offences,4,10,,6
Bayside,3191,Sandringham,D Public order and security offences,D30 Public nuisance offences,4,3,,-1
Southern Grampians,3315,Coleraine,B Property and deception offences,B30 Burglary/Break and enter,4,7,,3
Greater Bendigo,3570,Kamarooka,B Property and deception offences,B20 Property damage,4,,,
Mornington Peninsula,3943,Sorrento,F Other offences,F20 Transport regulation offences,4,1,,-3
Ballarat,3350,Soldiers Hill,D Public order and security offences,D20 Disorderly and offensive conduct,4,,,
Whitehorse,3128,Box Hill South,D Public order and security offences,D10 Weapons and explosives offences,4,2,,-2
Port Phillip,3206,Albert Park,E Justice procedures offences,E10 Justice procedures,4,5,,1
Murrindindi,3718,Molesworth,A Crimes against the person,A20 Assault and related offences,4,,,
Loddon,3520,Korong Vale,E Justice procedures offences,E20 Breaches of orders,4,3,,-1
Southern Grampians,3289,Penshurst,A Crimes against the person,A20 Assault and related offences,4,2,,-2
Moyne,3282,Koroit,D Public order and security offences,D10 Weapons and explosives offences,4,,,
Merri-bek,3055,Brunswick West,B Property and deception offences,B10 Arson,4,4,,0
Mount Alexander,3453,Harcourt,E Justice procedures offences,E20 Breaches of orders,4,3,,-1
Brimbank,3037,Delahey,C Drug offences,C10 Drug dealing and trafficking,4,2,,-2
Baw Baw,3824,Trafalgar,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,10,,6
Knox,3152,Wantirna South,F Other offences,F90 Miscellaneous offences,4,1,,-3
Greater Bendigo,3551,Eppalock,F Other offences,F20 Transport regulation offences,4,2,,-2
Cardinia,3783,Gembrook,E Justice procedures offences,E20 Breaches of orders,4,12,,8
Strathbogie,3608,Graytown,B Property and deception offences,B20 Property damage,4,,,
Indigo,3685,Browns Plains,E Justice procedures offences,E10 Justice procedures,4,,,
Greater Geelong,3216,Waurn Ponds,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,2,,-2
Banyule,3094,Montmorency,B Property and deception offences,B50 Deception,4,7,,3
Darebin,3078,Fairfield,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,3,,-1
Darebin,3078,Fairfield,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,2,,-2
Colac-Otway,3250,Colac East,B Property and deception offences,B40 Theft,4,7,,3
Yarra Ranges,3139,Hoddles Creek,B Property and deception offences,B20 Property damage,4,2,,-2
Moonee Valley,3041,Essendon North,E Justice procedures offences,E10 Justice procedures,4,7,,3
Greater Geelong,3222,Clifton Springs,F Other offences,F20 Transport regulation offences,4,,,
Hume,3062,Somerton,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,4,,0
Stonnington,3146,Glen Iris,A Crimes against the person,Other crimes against the person,4,10,,6
Stonnington,3146,Glen Iris,A Crimes against the person,Other crimes against the person,4,8,,4
Yarra Ranges,3796,Mount Evelyn,C Drug offences,C30 Drug use and possession,4,7,,3
Campaspe,3623,Stanhope,A Crimes against the person,A20 Assault and related offences,4,5,,1
Mildura,3490,Ouyen,A Crimes against the person,Other crimes against the person,4,3,,-1
Boroondara,3123,Hawthorn East,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,5,,1
East Gippsland,3900,Benambra,A Crimes against the person,A20 Assault and related offences,4,,,
Frankston,3977,Skye,A Crimes against the person,Other crimes against the person,4,13,,9
Bass Coast,3992,Dalyston,B Property and deception offences,B10 Arson,4,,,
Pyrenees,3373,Beaufort,D Public order and security offences,D20 Disorderly and offensive conduct,4,1,,-3
Moira,3644,Cobram,D Public order and security offences,D20 Disorderly and offensive conduct,4,4,,0
Gannawarra,3568,Cohuna,E Justice procedures offences,E10 Justice procedures,4,4,,0
Darebin,3070,Northcote,C Drug offences,C10 Drug dealing and trafficking,4,1,,-3
Gannawarra,3568,Cohuna,A Crimes against the person,Other crimes against the person,4,3,,-1
Stonnington,3142,Toorak,D Public order and security offences,D30 Public nuisance offences,4,8,,4
Loddon,3537,Boort,A Crimes against the person,A20 Assault and related offences,4,1,,-3
Darebin,3083,Kingsbury,B Property and deception offences,B10 Arson,4,4,,0
Glenelg,3305,Bolwarra,B Property and deception offences,B40 Theft,4,8,,4
Boroondara,3146,Glen Iris,E Justice procedures offences,E10 Justice procedures,4,33,,29
Boroondara,3146,Glen Iris,E Justice procedures offences,E10 Justice procedures,4,4,,0
Alpine,3740,Porepunkah,B Property and deception offences,B40 Theft,4,5,,1
Bayside,3187,Brighton East,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,2,,-2
Whittlesea,3757,Whittlesea,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,6,,2
South Gippsland,3945,Loch,B Property and deception offences,B30 Burglary/Break and enter,4,2,,-2
Boroondara,3127,Surrey Hills,A Crimes against the person,Other crimes against the person,4,9,,5
Greater Shepparton,3629,Mooroopna,D Public order and security offences,D30 Public nuisance offences,4,4,,0
Yarra Ranges,3160,Belgrave South,B Property and deception offences,B40 Theft,4,11,,7
Mount Alexander,3463,Baringhup,E Justice procedures offences,E20 Breaches of orders,4,,,
Mount Alexander,3450,Castlemaine,B Property and deception offences,B10 Arson,4,4,,0
Colac-Otway,3233,Apollo Bay,A Crimes against the person,Other crimes against the person,4,7,,3
Yarra,3054,Carlton North,E Justice procedures offences,E10 Justice procedures,4,3,,-1
Yarra,3054,Carlton North,E Justice procedures offences,E10 Justice procedures,4,2,,-2
Corangamite,3361,Skipton,B Property and deception offences,B40 Theft,4,12,,8
Corangamite,3361,Skipton,B Property and deception offences,B40 Theft,4,1,,-3
Queenscliffe,3225,Queenscliff,B Property and deception offences,B20 Property damage,4,4,,0
Maroondah,3135,Ringwood East,E Justice procedures offences,E10 Justice procedures,4,8,,4
Darebin,3078,Fairfield,C Drug offences,C30 Drug use and possession,4,4,,0
Campaspe,3621,Tongala,A Crimes against the person,Other crimes against the person,4,3,,-1
Mitchell,3753,Beveridge,B Property and deception offences,B50 Deception,4,9,,5
Cardinia,3782,Emerald,D Public order and security offences,D10 Weapons and explosives offences,4,2,,-2
Corangamite,3266,Cobden,D Public order and security offences,D10 Weapons and explosives offences,4,4,,0
Mornington Peninsula,3934,Mount Martha,C Drug offences,C10 Drug dealing and trafficking,4,1,,-3
Mornington Peninsula,3926,Balnarring Beach,B Property and deception offences,B40 Theft,4,15,,11
Greater Dandenong,3175,Bangholme,B Property and deception offences,B30 Burglary/Break and enter,4,7,,3
Greater Geelong,3216,Waurn Ponds,A Crimes against the person,Other crimes against the person,4,6,,2
Mitchell,3521,Pyalong,B Property and deception offences,B40 Theft,4,20,,16
Colac-Otway,3233,Apollo Bay,D Public order and security offences,D20 Disorderly and offensive conduct,4,5,,1
Banyule,3084,Eaglemont,E Justice procedures offences,E20 Breaches of orders,4,14,,10
Indigo,3747,Beechworth,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,,,
Hume,3048,Meadow Heights,A Crimes against the person,A50 Robbery,4,1,,-3
Monash,3148,Chadstone,A Crimes against the person,A50 Robbery,4,9,,5
Benalla,3675,Glenrowan West,B Property and deception offences,B30 Burglary/Break and enter,4,2,,-2
Banyule,3093,Lower Plenty,B Property and deception offences,B50 Deception,4,2,,-2
Hobsons Bay,3015,Spotswood,E Justice procedures offences,E10 Justice procedures,4,10,,6
Wangaratta,3675,Greta,A Crimes against the person,A20 Assault and related offences,4,,,
South Gippsland,3956,Meeniyan,B Property and deception offences,B40 Theft,4,6,,2
Surf Coast,3231,Aireys Inlet,A Crimes against the person,Other crimes against the person,4,1,,-3
Greater Shepparton,3631,Shepparton North,C Drug offences,C30 Drug use and possession,4,,,
Greater Shepparton,3610,Dhurringile,E Justice procedures offences,E20 Breaches of orders,4,5,,1
Hobsons Bay,3015,Newport,D Public order and security offences,D20 Disorderly and offensive conduct,4,6,,2
Wellington,3851,Loch Sport,A Crimes against the person,Other crimes against the person,4,3,,-1
Brimbank,3037,Calder Park,E Justice procedures offences,E20 Breaches of orders,4,,,
Greater Geelong,3215,Rippleside,B Property and deception offences,B20 Property damage,4,4,,0
Brimbank,3037,Delahey,E Justice procedures offences,E10 Justice procedures,4,9,,5
Hepburn,3460,Daylesford,D Public order and security offences,D30 Public nuisance offences,4,2,,-2
Boroondara,3123,Hawthorn East,D Public order and security offences,D30 Public nuisance offences,4,6,,2
Greater Bendigo,3556,Eaglehawk North,B Property and deception offences,B40 Theft,4,,,
Mansfield,3720,Bonnie Doon,B Property and deception offences,B20 Property damage,4,4,,0
Merri-bek,3058,Coburg North,C Drug offences,C20 Cultivate or manufacture drugs,4,7,,3
Greater Geelong,3218,Herne Hill,A Crimes against the person,A50 Robbery,4,,,
Stonnington,3143,Armadale,A Crimes against the person,A50 Robbery,4,2,,-2
Yarra Ranges,3777,Badger Creek,B Property and deception offences,B20 Property damage,4,5,,1
Macedon Ranges,3444,Tylden,B Property and deception offences,B30 Burglary/Break and enter,4,1,,-3
Moonee Valley,3032,Travancore,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,2,,-2
Golden Plains,3332,Lethbridge,B Property and deception offences,B40 Theft,4,2,,-2
Greater Bendigo,3551,Strathfieldsaye,C Drug offences,C30 Drug use and possession,4,,,
Greater Geelong,3215,North Geelong,D Public order and security offences,D30 Public nuisance offences,4,7,,3
Kingston,3195,Aspendale Gardens,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,2,,-2
Darebin,3078,Alphington,E Justice procedures offences,E10 Justice procedures,4,3,,-1
Darebin,3078,Alphington,E Justice procedures offences,E10 Justice procedures,4,1,,-3
Mornington Peninsula,3919,Crib Point,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,2,,-2
Surf Coast,3217,Mount Duneed,B Property and deception offences,B20 Property damage,4,30,,26
Surf Coast,3217,Mount Duneed,B Property and deception offences,B20 Property damage,4,1,,-3
Whitehorse,3130,Blackburn,D Public order and security offences,D20 Disorderly and offensive conduct,4,4,,0
Bass Coast,3925,Cape Woolamai,E Justice procedures offences,E20 Breaches of orders,4,4,,0
Yarra Ranges,3775,Yarra Glen,A Crimes against the person,Other crimes against the person,4,1,,-3
Moira,3638,Nathalia,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,3,,-1
Yarra Ranges,3770,Gruyere,E Justice procedures offences,E20 Breaches of orders,4,7,,3
Greater Bendigo,3551,Ascot,B Property and deception offences,B30 Burglary/Break and enter,4,12,,8
Greater Geelong,3219,St Albans Park,D Public order and security offences,D10 Weapons and explosives offences,4,4,,0
Kingston,3172,Dingley Village,A Crimes against the person,A50 Robbery,4,3,,-1
Yarra,3121,Burnley,E Justice procedures offences,E20 Breaches of orders,4,6,,2
Greater Bendigo,3557,Goornong,B Property and deception offences,B20 Property damage,4,5,,1
Knox,3154,The Basin,D Public order and security offences,D10 Weapons and explosives offences,4,2,,-2
Wellington,3851,Golden Beach,D Public order and security offences,D10 Weapons and explosives offences,4,1,,-3
Whittlesea,3082,Mill Park,D Public order and security offences,D30 Public nuisance offences,4,7,,3
Mitchell,3659,Tallarook,A Crimes against the person,Other crimes against the person,4,2,,-2
Boroondara,3147,Ashburton,D Public order and security offences,D30 Public nuisance offences,4,5,,1
Darebin,3083,Bundoora,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,16,,12
Darebin,3083,Bundoora,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,16,,12
Darebin,3083,Bundoora,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,3,,-1
Greater Geelong,3220,South Geelong,D Public order and security offences,D20 Disorderly and offensive conduct,4,,,
Greater Bendigo,3557,Goornong,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,,,
Mornington Peninsula,3933,Moorooduc,A Crimes against the person,A20 Assault and related offences,4,7,,3
Ballarat,3355,Wendouree,C Drug offences,C10 Drug dealing and trafficking,4,3,,-1
Manningham,3113,Warrandyte,B Property and deception offences,B50 Deception,4,6,,2
Moonee Valley,3031,Flemington,C Drug offences,C10 Drug dealing and trafficking,4,13,,9
Moonee Valley,3031,Flemington,C Drug offences,C10 Drug dealing and trafficking,4,11,,7
Greater Geelong,3219,East Geelong,E Justice procedures offences,E10 Justice procedures,4,6,,2
Greater Bendigo,3551,Eppalock,B Property and deception offences,B40 Theft,4,8,,4
Greater Geelong,3222,Curlewis,A Crimes against the person,Other crimes against the person,4,5,,1
Moonee Valley,3033,Keilor East,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,5,,1
Moonee Valley,3033,Keilor East,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,3,,-1
Baw Baw,3824,Trafalgar,D Public order and security offences,D30 Public nuisance offences,4,1,,-3
Mornington Peninsula,3911,Baxter,C Drug offences,C30 Drug use and possession,4,3,,-1
Alpine,3737,Myrtleford,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,3,,-1
Moorabool,3352,Millbrook,B Property and deception offences,B40 Theft,4,1,,-3
Greater Bendigo,3551,Lockwood South,B Property and deception offences,B40 Theft,4,4,,0
Greater Geelong,3219,Whittington,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,1,,-3
Kingston,3167,Oakleigh South,E Justice procedures offences,E10 Justice procedures,4,5,,1
Kingston,3167,Oakleigh South,E Justice procedures offences,E10 Justice procedures,4,4,,0
Mornington Peninsula,3942,Blairgowrie,B Property and deception offences,B50 Deception,4,5,,1
Boroondara,3123,Hawthorn East,C Drug offences,C10 Drug dealing and trafficking,4,1,,-3
Latrobe,3825,Newborough,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,10,,6
Hume,3063,Oaklands Junction,B Property and deception offences,B20 Property damage,4,4,,0
Greater Shepparton,3629,Mooroopna North,B Property and deception offences,B40 Theft,4,7,,3
South Gippsland,3962,Toora,A Crimes against the person,Other crimes against the person,4,2,,-2
Wyndham,3028,Laverton,E Justice procedures offences,E10 Justice procedures,4,12,,8
Wyndham,3028,Laverton,E Justice procedures offences,E10 Justice procedures,4,4,,0
Melton,3023,Caroline Springs,A Crimes against the person,A50 Robbery,4,18,,14
Mount Alexander,3450,Castlemaine,D Public order and security offences,D20 Disorderly and offensive conduct,4,5,,1
Knox,3156,Upper Ferntree Gully,B Property and deception offences,B50 Deception,4,4,,0
Greater Bendigo,3551,Bagshot,B Property and deception offences,B20 Property damage,4,2,,-2
Greater Bendigo,3555,Kangaroo Flat,C Drug offences,C20 Cultivate or manufacture drugs,4,3,,-1
Bass Coast,3922,Surf Beach,B Property and deception offences,B20 Property damage,4,,,
Moonee Valley,3031,Kensington,E Justice procedures offences,E20 Breaches of orders,4,58,,54
Strathbogie,3666,Miepoll,A Crimes against the person,A20 Assault and related offences,4,2,,-2
Melton,3337,Kurunjang,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,2,,-2
East Gippsland,3875,Lucknow,D Public order and security offences,D10 Weapons and explosives offences,4,,,
Nillumbik,3761,St Andrews,B Property and deception offences,B20 Property damage,4,2,,-2
Mildura,3490,Ouyen,E Justice procedures offences,E10 Justice procedures,4,2,,-2
Towong,3707,Corryong,A Crimes against the person,Other crimes against the person,4,,,
Ballarat,3355,Lake Gardens,E Justice procedures offences,E10 Justice procedures,4,3,,-1
Swan Hill,3544,Ultima,E Justice procedures offences,E20 Breaches of orders,4,,,
Cardinia,3808,Beaconsfield Upper,B Property and deception offences,B30 Burglary/Break and enter,4,6,,2
Maroondah,3135,Heathmont,D Public order and security offences,D10 Weapons and explosives offences,4,3,,-1
Hume,3048,Meadow Heights,D Public order and security offences,D30 Public nuisance offences,4,3,,-1
Ballarat,3352,Mount Rowan,E Justice procedures offences,E10 Justice procedures,4,2,,-2
Wellington,3874,Woodside,B Property and deception offences,B30 Burglary/Break and enter,4,1,,-3
Mitchell,3758,Heathcote Junction,A Crimes against the person,A20 Assault and related offences,4,1,,-3
Wellington,3858,Heyfield,E Justice procedures offences,E10 Justice procedures,4,7,,3
Mornington Peninsula,3930,Mount Eliza,D Public order and security offences,D30 Public nuisance offences,4,3,,-1
Whitehorse,3131,Forest Hill,C Drug offences,C10 Drug dealing and trafficking,4,3,,-1
Brimbank,3043,Tullamarine,E Justice procedures offences,E10 Justice procedures,4,15,,11
Brimbank,3043,Tullamarine,E Justice procedures offences,E10 Justice procedures,4,3,,-1
Bass Coast,3925,San Remo,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,6,,2
Bayside,3188,Hampton,C Drug offences,C30 Drug use and possession,4,15,,11
Melbourne,3031,Kensington,D Public order and security offences,D30 Public nuisance offences,4,6,,2
Moyne,3276,Woolsthorpe,B Property and deception offences,B40 Theft,4,1,,-3
Yarra Ranges,3777,Badger Creek,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,2,,-2
Greater Bendigo,3556,California Gully,C Drug offences,C10 Drug dealing and trafficking,4,1,,-3
Bass Coast,3979,Glen Alvie,E Justice procedures offences,E20 Breaches of orders,4,,,
Monash,3148,Chadstone,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,6,,2
Bass Coast,3925,Cape Woolamai,A Crimes against the person,Other crimes against the person,4,5,,1
Melton,3023,Burnside Heights,E Justice procedures offences,E10 Justice procedures,4,5,,1
Ballarat,3350,Redan,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,9,,5
South Gippsland,3945,Loch,B Property and deception offences,B40 Theft,4,7,,3
Mornington Peninsula,3912,Somerville,D Public order and security offences,D30 Public nuisance offences,4,3,,-1
Maroondah,3134,Ringwood,C Drug offences,C10 Drug dealing and trafficking,4,5,,1
Whittlesea,3750,Wollert,C Drug offences,C10 Drug dealing and trafficking,4,3,,-1
Greater Dandenong,3174,Noble Park North,E Justice procedures offences,E10 Justice procedures,4,17,,13
Campaspe,3620,Kyabram,B Property and deception offences,B10 Arson,4,6,,2
Swan Hill,3595,Nyah West,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,1,,-3
Benalla,3673,Molyullah,B Property and deception offences,B50 Deception,4,1,,-3
Hindmarsh,3424,Rainbow,B Property and deception offences,B20 Property damage,4,3,,-1
Port Phillip,3183,Balaclava,C Drug offences,C10 Drug dealing and trafficking,4,4,,0
Surf Coast,3240,Mount Moriac,B Property and deception offences,B40 Theft,4,3,,-1
Surf Coast,3228,Jan Juc,A Crimes against the person,Other crimes against the person,4,4,,0
Kingston,3195,Aspendale,E Justice procedures offences,E10 Justice procedures,4,3,,-1
Frankston,3977,Sandhurst,B Property and deception offences,B50 Deception,4,16,,12
Kingston,3196,Edithvale,D Public order and security offences,D10 Weapons and explosives offences,4,5,,1
Yarra Ranges,3139,Hoddles Creek,B Property and deception offences,B40 Theft,4,6,,2
Mornington Peninsula,3926,Balnarring,B Property and deception offences,B50 Deception,4,8,,4
Port Phillip,3182,St Kilda,F Other offences,F20 Transport regulation offences,4,,,
Maroondah,3136,Croydon North,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",3,3,,0
Hume,3064,Kalkallo,E Justice procedures offences,E10 Justice procedures,3,2,,-1
Melton,3338,Cobblebank,A Crimes against the person,A50 Robbery,3,1,,-2
Campaspe,3573,Pine Grove,B Property and deception offences,B40 Theft,3,,,
Hobsons Bay,3015,South Kingsville,E Justice procedures offences,E20 Breaches of orders,3,1,,-2
Greater Geelong,3216,Wandana Heights,E Justice procedures offences,E10 Justice procedures,3,1,,-2
Indigo,3747,Beechworth,A Crimes against the person,Other crimes against the person,3,9,,6
Greater Bendigo,3551,Junortoun,B Property and deception offences,B10 Arson,3,1,,-2
Glenelg,3305,Portland,A Crimes against the person,A50 Robbery,3,1,,-2
Yarra Ranges,3799,Warburton,D Public order and security offences,D30 Public nuisance offences,3,3,,0
East Gippsland,3875,Eastwood,E Justice procedures offences,E10 Justice procedures,3,3,,0
East Gippsland,3875,Sarsfield,B Property and deception offences,B20 Property damage,3,1,,-2
Yarriambiack,3393,Warracknabeal,D Public order and security offences,D10 Weapons and explosives offences,3,7,,4
Brimbank,3012,Brooklyn,B Property and deception offences,B20 Property damage,3,12,,9
Brimbank,3012,Brooklyn,B Property and deception offences,B20 Property damage,3,12,,9
Greater Geelong,3214,North Shore,A Crimes against the person,A20 Assault and related offences,3,6,,3
Glen Eira,3162,Caulfield,D Public order and security offences,D30 Public nuisance offences,3,2,,-1
Kingston,3195,Aspendale,A Crimes against the person,A80 Dangerous and negligent acts endangering people,3,1,,-2
Whitehorse,3128,Box Hill South,E Justice procedures offences,E10 Justice procedures,3,7,,4
Mitchell,3753,Beveridge,D Public order and security offences,D10 Weapons and explosives offences,3,8,,5
Mitchell,3753,Beveridge,D Public order and security offences,D10 Weapons and explosives offences,3,3,,0
Corangamite,3260,Camperdown,A Crimes against the person,A80 Dangerous and negligent acts endangering people,3,8,,5
Greater Bendigo,3453,Ravenswood,A Crimes against the person,A80 Dangerous and negligent acts endangering people,3,1,,-2
Greater Bendigo,3453,Ravenswood,A Crimes against the person,A80 Dangerous and negligent acts endangering people,3,1,,-2
Banyule,3094,Montmorency,C Drug offences,C30 Drug use and possession,3,1,,-2
Moyne,3272,Woorndoo,B Property and deception offences,B40 Theft,3,4,,1
Moyne,3272,Woorndoo,B Property and deception offences,B40 Theft,3,1,,-2
Macedon Ranges,3437,Bullengarook,E Justice procedures offences,E20 Breaches of orders,3,,,
South Gippsland,3965,Port Welshpool,B Property and deception offences,B50 Deception,3,,,
Moorabool,3340,Maddingley,B Property and deception offences,B10 Arson,3,3,,0
Melbourne,3207,Port Melbourne,C Drug offences,C20 Cultivate or manufacture drugs,3,7,,4
Melbourne,3207,Port Melbourne,C Drug offences,C20 Cultivate or manufacture drugs,3,3,,0
East Gippsland,3878,Eagle Point,B Property and deception offences,B30 Burglary/Break and enter,3,3,,0
Baw Baw,3822,Darnum,D Public order and security offences,D10 Weapons and explosives offences,3,2,,-1
Brimbank,3021,Kealba,A Crimes against the person,Other crimes against the person,3,4,,1
Baw Baw,3825,Rawson,B Property and deception offences,B40 Theft,3,2,,-1
Latrobe,3825,Newborough,A Crimes against the person,A80 Dangerous and negligent acts endangering people,3,3,,0
Hobsons Bay,3015,Newport,C Drug offences,C10 Drug dealing and trafficking,3,3,,0
Ballarat,3352,Burrumbeet,B Property and deception offences,B20 Property damage,3,,,
Gannawarra,3579,Mystic Park,E Justice procedures offences,E10 Justice procedures,3,,,
Port Phillip,3206,Middle Park,C Drug offences,C30 Drug use and possession,3,2,,-1
Brimbank,3012,Brooklyn,A Crimes against the person,A20 Assault and related offences,3,16,,13
Casey,3807,Beaconsfield,B Property and deception offences,B40 Theft,3,220,,217
Casey,3807,Beaconsfield,B Property and deception offences,B40 Theft,3,3,,0
Latrobe,3869,Yinnar South,A Crimes against the person,A20 Assault and related offences,3,4,,1
Maribyrnong,3012,Kingsville,D Public order and security offences,D10 Weapons and explosives offences,3,,,
Baw Baw,3822,Darnum,B Property and deception offences,B20 Property damage,3,2,,-1
Latrobe,3825,Newborough,D Public order and security offences,D30 Public nuisance offences,3,2,,-1
Strathbogie,3663,Mangalore,E Justice procedures offences,E20 Breaches of orders,3,1,,-2
Yarra Ranges,3160,Belgrave Heights,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",3,1,,-2
Bass Coast,3991,Bass,B Property and deception offences,B20 Property damage,3,1,,-2
Moonee Valley,3032,Travancore,E Justice procedures offences,E10 Justice procedures,3,2,,-1
Bass Coast,3925,San Remo,C Drug offences,C10 Drug dealing and trafficking,3,1,,-2
Greater Bendigo,3550,Spring Gully,D Public order and security offences,D30 Public nuisance offences,3,,,
East Gippsland,3875,Ellaswood,A Crimes against the person,A20 Assault and related offences,3,2,,-1
Mildura,3494,Carwarp,E Justice procedures offences,E20 Breaches of orders,3,,,
Benalla,3673,Lima South,B Property and deception offences,B20 Property damage,3,,,
Ballarat,3350,Bakery Hill,C Drug offences,C30 Drug use and possession,3,6,,3
Ballarat,3356,Delacombe,C Drug offences,C30 Drug use and possession,3,7,,4
East Gippsland,3909,Kalimna,A Crimes against the person,Other crimes against the person,3,1,,-2
East Gippsland,3880,Raymond Island,E Justice procedures offences,E20 Breaches of orders,3,3,,0
Golden Plains,3330,Rokewood,B Property and deception offences,B20 Property damage,3,3,,0
Latrobe,3840,Maryvale,B Property and deception offences,B30 Burglary/Break and enter,3,4,,1
Wyndham,3030,Quandong,B Property and deception offences,B40 Theft,3,9,,6
Moonee Valley,3040,Aberfeldie,B Property and deception offences,B50 Deception,3,4,,1
Mansfield,3720,Bonnie Doon,B Property and deception offences,B40 Theft,3,3,,0
