Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Metro Inner North,Yallambie,A Crimes against the person,Other crimes against the person,4,4,0.0,0
Other,Lake Tyers Beach,E Justice procedures offences,E20 Breaches of orders,4,12,0.0,8
Other,Macedon,E Justice procedures offences,E10 Justice procedures,4,4,0.0,0
Metro Inner West,Niddrie,D Public order and security offences,D10 Weapons and explosives offences,4,7,0.0,3
,Grantville,B Property and deception offences,B20 Property damage,4,5,0.0,1
,Wonga Park,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,,0.0,
Other,Mansfield,D Public order and security offences,D30 Public nuisance offences,4,4,0.0,0
Metro Outer West,Laverton North,C Drug offences,C20 Cultivate or manufacture drugs,4,2,0.0,-2
Metro Inner West,Sunshine West,A Crimes against the person,A50 Robbery,4,11,0.0,7
,Lysterfield South,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,2,0.0,-2
Metro Inner,South Melbourne CBD,B Property and deception offences,B10 Arson,4,12,0.0,8
Other,Soldiers Hill,E Justice procedures offences,E10 Justice procedures,4,9,0.0,5
,Leneva,E Justice procedures offences,E20 Breaches of orders,4,5,0.0,1
Other,Soldiers Hill,D Public order and security offences,D20 Disorderly and offensive conduct,4,,0.0,
,Invermay Park,B Property and deception offences,B20 Property damage,4,6,0.0,2
Other,North Wonthaggi,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,2,0.0,-2
,Shepparton East,A Crimes against the person,Other crimes against the person,4,,0.0,
,Lemnos,B Property and deception offences,B40 Theft,4,4,0.0,0
Metro Inner East,Chadstone,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,6,0.0,2
Metro Outer South,Tyabb,E Justice procedures offences,E10 Justice procedures,4,7,0.0,3
Other,Mount Clear,C Drug offences,C30 Drug use and possession,4,6,0.0,2
Metro Outer East,Seville,A Crimes against the person,Other crimes against the person,4,6,0.0,2
Metro Outer South,Blairgowrie,B Property and deception offences,B50 Deception,4,5,0.0,1
Metro Outer North,Hurstbridge,B Property and deception offences,B50 Deception,4,1,0.0,-3
,Nar Nar Goon,B Property and deception offences,B40 Theft,4,13,0.0,9
,Amphitheatre,B Property and deception offences,B40 Theft,4,1,0.0,-3
Metro Outer South,Pakenham,F Other offences,F90 Miscellaneous offences,4,1,0.0,-3
Metro Inner East,Wheelers Hill,B Property and deception offences,B10 Arson,4,,0.0,
Other,Waurn Ponds,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,2,0.0,-2
Metro Inner,Fitzroy North,D Public order and security offences,D30 Public nuisance offences,4,7,0.0,3
Other,Glenrowan West,B Property and deception offences,B30 Burglary/Break and enter,4,2,0.0,-2
Other,Woodend,A Crimes against the person,Other crimes against the person,4,6,0.0,2
,Natimuk,B Property and deception offences,B30 Burglary/Break and enter,4,2,0.0,-2
,Jeparit,B Property and deception offences,B30 Burglary/Break and enter,4,6,0.0,2
Metro Inner West,Maribyrnong,C Drug offences,C20 Cultivate or manufacture drugs,4,3,0.0,-1
Metro Inner East,Hawthorn East,D Public order and security offences,D30 Public nuisance offences,4,6,0.0,2
,Tallygaroopna,A Crimes against the person,A20 Assault and related offences,4,2,0.0,-2
,Lethbridge,B Property and deception offences,B30 Burglary/Break and enter,4,4,0.0,0
Metro Inner East,Ashwood,D Public order and security offences,D10 Weapons and explosives offences,4,8,0.0,4
Metro Inner North,Yallambie,B Property and deception offences,B20 Property damage,4,8,0.0,4
Metro Outer South,Baxter,C Drug offences,C30 Drug use and possession,4,3,0.0,-1
,Scotts Creek,B Property and deception offences,B30 Burglary/Break and enter,4,,0.0,
,Boort,E Justice procedures offences,E10 Justice procedures,4,1,0.0,-3
Metro Outer North,Eltham North,E Justice procedures offences,E20 Breaches of orders,4,10,0.0,6
Other,Clifton Springs,D Public order and security offences,D10 Weapons and explosives offences,4,1,0.0,-3
,Dartmoor,E Justice procedures offences,E20 Breaches of orders,4,1,0.0,-3
Other,Maddingley,D Public order and security offences,D20 Disorderly and offensive conduct,4,1,0.0,-3
Other,Grangefields,B Property and deception offences,B30 Burglary/Break and enter,4,,0.0,
Other,Traralgon East,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,3,0.0,-1
,Nicholson,B Property and deception offences,B20 Property damage,4,5,0.0,1
Metro Outer South,Lyndhurst,A Crimes against the person,Other crimes against the person,4,11,0.0,7
Other,Highton,B Property and deception offences,B10 Arson,4,1,0.0,-3
Other,Bakery Hill,A Crimes against the person,Other crimes against the person,4,4,0.0,0
Metro Inner North,Heidelberg Heights,C Drug offences,C10 Drug dealing and trafficking,4,4,0.0,0
Other,Yarrawonga,C Drug offences,C20 Cultivate or manufacture drugs,4,4,0.0,0
,Pakenham South,B Property and deception offences,B40 Theft,4,9,0.0,5
,Club Terrace,B Property and deception offences,B40 Theft,4,,0.0,
Metro Outer West,Burnside Heights,C Drug offences,C30 Drug use and possession,4,3,0.0,-1
Metro Inner East,The Basin,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,5,0.0,1
,Surf Beach,B Property and deception offences,B20 Property damage,4,,0.0,
,Greendale,A Crimes against the person,A20 Assault and related offences,4,3,0.0,-1
Metro Outer North,Kalkallo,C Drug offences,C20 Cultivate or manufacture drugs,4,3,0.0,-1
,Garfield,B Property and deception offences,B30 Burglary/Break and enter,4,3,0.0,-1
,Glen Park,B Property and deception offences,B30 Burglary/Break and enter,4,3,0.0,-1
Metro Inner East,Warranwood,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,,0.0,
Other,Elliminyt,B Property and deception offences,B20 Property damage,4,4,0.0,0
Metro Outer North,Mill Park,C Drug offences,C20 Cultivate or manufacture drugs,4,6,0.0,2
,Baringhup,E Justice procedures offences,E20 Breaches of orders,4,,0.0,
,Nyora,B Property and deception offences,B30 Burglary/Break and enter,4,6,0.0,2
Metro Inner East,Wantirna,D Public order and security offences,D20 Disorderly and offensive conduct,4,13,0.0,9
,Wandin North,C Drug offences,C30 Drug use and possession,4,,0.0,
Metro Inner West,Kingsville,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,3,0.0,-1
Other,Heyfield,B Property and deception offences,B50 Deception,4,5,0.0,1
,Point Lonsdale,B Property and deception offences,B20 Property damage,4,6,0.0,2
Metro Inner South,Glen Huntly,A Crimes against the person,Other crimes against the person,4,16,0.0,12
Other,Anglesea,A Crimes against the person,Other crimes against the person,4,1,0.0,-3
Other,Yea,A Crimes against the person,Other crimes against the person,4,4,0.0,0
Metro Inner East,Balwyn,D Public order and security offences,D10 Weapons and explosives offences,4,4,0.0,0
Metro Inner North,Heidelberg West,C Drug offences,C10 Drug dealing and trafficking,4,4,0.0,0
,Cann River,B Property and deception offences,B30 Burglary/Break and enter,4,,0.0,
,Tahara,E Justice procedures offences,E20 Breaches of orders,4,,0.0,
,Merrijig,E Justice procedures offences,E20 Breaches of orders,4,,0.0,
Metro Inner East,Wantirna South,F Other offences,F90 Miscellaneous offences,4,1,0.0,-3
,Mia Mia,B Property and deception offences,B40 Theft,4,3,0.0,-1
Metro Outer South,Sorrento,F Other offences,F20 Transport regulation offences,4,1,0.0,-3
Other,Tatura,B Property and deception offences,B10 Arson,4,2,0.0,-2
Metro Outer North,Somerton,C Drug offences,C30 Drug use and possession,4,2,0.0,-2
Other,Curlewis,A Crimes against the person,Other crimes against the person,4,5,0.0,1
Metro Inner North,Montmorency,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,6,0.0,2
Metro Inner East,Glen Iris,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,12,0.0,8
,Meeniyan,B Property and deception offences,B40 Theft,4,6,0.0,2
Metro Inner North,Bellfield,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,11,0.0,7
Metro Inner West,Cairnlea,A Crimes against the person,A50 Robbery,4,5,0.0,1
Other,Apollo Bay,A Crimes against the person,Other crimes against the person,4,7,0.0,3
,Wangaratta South,B Property and deception offences,B30 Burglary/Break and enter,4,2,0.0,-2
Metro Inner East,Ringwood East,E Justice procedures offences,E10 Justice procedures,4,8,0.0,4
Metro Inner West,Keilor East,B Property and deception offences,B10 Arson,4,2,0.0,-2
,Bridgewater On Loddon,A Crimes against the person,Other crimes against the person,4,,0.0,
Other,Lake Gardens,E Justice procedures offences,E10 Justice procedures,4,3,0.0,-1
Other,Mount Duneed,E Justice procedures offences,E10 Justice procedures,4,3,0.0,-1
Metro Inner West,Kings Park,A Crimes against the person,A50 Robbery,4,5,0.0,1
,Coronet Bay,B Property and deception offences,B40 Theft,4,11,0.0,7
,Korong Vale,E Justice procedures offences,E20 Breaches of orders,4,3,0.0,-1
Metro Inner West,Laverton,A Crimes against the person,A50 Robbery,4,7,0.0,3
,Attwood,B Property and deception offences,B50 Deception,4,2,0.0,-2
Metro Inner East,Toorak,D Public order and security offences,D10 Weapons and explosives offences,4,7,0.0,3
Other,Mildura,F Other offences,F30 Other government regulatory offences,4,1,0.0,-3
Other,Orbost,B Property and deception offences,B50 Deception,4,2,0.0,-2
,Don Valley,A Crimes against the person,Other crimes against the person,4,4,0.0,0
Other,Cape Woolamai,E Justice procedures offences,E20 Breaches of orders,4,4,0.0,0
,Dalyston,B Property and deception offences,B10 Arson,4,,0.0,
,Hepburn,B Property and deception offences,B30 Burglary/Break and enter,4,2,0.0,-2
,Bangholme,B Property and deception offences,B30 Burglary/Break and enter,4,7,0.0,3
,Cardinia,B Property and deception offences,B30 Burglary/Break and enter,4,9,0.0,5
,Cobden,D Public order and security offences,D10 Weapons and explosives offences,4,4,0.0,0
Metro Inner East,Doncaster East,C Drug offences,C10 Drug dealing and trafficking,4,2,0.0,-2
Metro Inner,Ripponlea,E Justice procedures offences,E20 Breaches of orders,4,14,0.0,10
Metro Outer West,Melton South,C Drug offences,C20 Cultivate or manufacture drugs,4,3,0.0,-1
Metro Outer South,McCrae,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,1,0.0,-3
Metro Inner West,Braybrook,C Drug offences,C20 Cultivate or manufacture drugs,4,3,0.0,-1
Other,Avoca,B Property and deception offences,B30 Burglary/Break and enter,4,15,0.0,11
Other,Belmont,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,1,0.0,-3
Metro Inner South,Ormond,E Justice procedures offences,E10 Justice procedures,4,2,0.0,-2
,St Andrews,B Property and deception offences,B20 Property damage,4,2,0.0,-2
Metro Outer South,Lyndhurst,C Drug offences,C30 Drug use and possession,4,4,0.0,0
,Port Campbell,A Crimes against the person,A20 Assault and related offences,4,7,0.0,3
Metro Inner East,Warrandyte,B Property and deception offences,B50 Deception,4,6,0.0,2
,Bolwarra,B Property and deception offences,B40 Theft,4,8,0.0,4
,Lucyvale,E Justice procedures offences,E20 Breaches of orders,4,,0.0,
Metro Inner East,Kew,A Crimes against the person,A50 Robbery,4,10,0.0,6
Metro Inner,Balaclava,C Drug offences,C10 Drug dealing and trafficking,4,4,0.0,0
Other,Newcomb,E Justice procedures offences,E10 Justice procedures,4,8,0.0,4
,Yallourn,A Crimes against the person,A20 Assault and related offences,4,,0.0,
,Lucknow,D Public order and security offences,D10 Weapons and explosives offences,4,,0.0,
Metro Outer North,Kalkallo,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,14,0.0,10
,Clarkefield,B Property and deception offences,B30 Burglary/Break and enter,4,3,0.0,-1
Metro Outer North,Diggers Rest,C Drug offences,C10 Drug dealing and trafficking,4,3,0.0,-1
Metro Outer South,Aspendale,D Public order and security offences,D10 Weapons and explosives offences,4,4,0.0,0
Metro Inner West,Yarraville,B Property and deception offences,B10 Arson,4,5,0.0,1
Metro Inner West,Maidstone,E Justice procedures offences,E10 Justice procedures,4,14,0.0,10
Other,Weir Views,E Justice procedures offences,E10 Justice procedures,4,7,0.0,3
,Allansford,B Property and deception offences,B20 Property damage,4,5,0.0,1
,San Remo,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,6,0.0,2
,Carboor,B Property and deception offences,B40 Theft,4,,0.0,
,Lal Lal,B Property and deception offences,B40 Theft,4,5,0.0,1
,Wedderburn,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,3,0.0,-1
,Jackass Flat,E Justice procedures offences,E20 Breaches of orders,4,4,0.0,0
,Eureka,A Crimes against the person,Other crimes against the person,4,3,0.0,-1
,Calder Park,E Justice procedures offences,E20 Breaches of orders,4,,0.0,
Metro Outer North,Diggers Rest,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,10,0.0,6
Other,Heathcote,A Crimes against the person,Other crimes against the person,4,6,0.0,2
,Condah,E Justice procedures offences,E20 Breaches of orders,4,1,0.0,-3
,Pyalong,B Property and deception offences,B40 Theft,4,20,0.0,16
Other,Port Fairy,D Public order and security offences,D20 Disorderly and offensive conduct,4,1,0.0,-3
Other,East Bairnsdale,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,15,0.0,11
Other,Frankston South,B Property and deception offences,B10 Arson,4,4,0.0,0
Other,Yallourn North,C Drug offences,C30 Drug use and possession,4,1,0.0,-3
Metro Outer West,Burnside Heights,A Crimes against the person,Other crimes against the person,4,4,0.0,0
,Cressy,B Property and deception offences,B30 Burglary/Break and enter,4,4,0.0,0
Metro Outer North,Jacana,D Public order and security offences,D10 Weapons and explosives offences,4,,0.0,
,Dhurringile,E Justice procedures offences,E20 Breaches of orders,4,5,0.0,1
,Maldon,B Property and deception offences,B50 Deception,4,1,0.0,-3
,Paradise Beach,B Property and deception offences,B40 Theft,4,,0.0,
,Merrijig,B Property and deception offences,B40 Theft,4,4,0.0,0
Other,California Gully,C Drug offences,C20 Cultivate or manufacture drugs,4,3,0.0,-1
Other,Mitchell Park,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,1,0.0,-3
,Woodside,E Justice procedures offences,E10 Justice procedures,4,,0.0,
,Dimboola,E Justice procedures offences,E20 Breaches of orders,4,8,0.0,4
Other,Cohuna,B Property and deception offences,B50 Deception,4,3,0.0,-1
Metro Outer North,Westmeadows,D Public order and security offences,D30 Public nuisance offences,4,,0.0,
Metro Outer East,Mount Dandenong,E Justice procedures offences,E20 Breaches of orders,4,6,0.0,2
,Kinglake,A Crimes against the person,A20 Assault and related offences,4,10,0.0,6
Metro Outer West,Taylors Hill,E Justice procedures offences,E10 Justice procedures,4,14,0.0,10
Metro Inner East,Vermont,E Justice procedures offences,E10 Justice procedures,4,16,0.0,12
Other,Nathalia,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,3,0.0,-1
Metro Inner West,Essendon,B Property and deception offences,B10 Arson,4,8,0.0,4
Metro Inner,St Kilda West,E Justice procedures offences,E10 Justice procedures,4,6,0.0,2
Metro Outer South,Pearcedale,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,3,0.0,-1
Other,Cape Paterson,A Crimes against the person,Other crimes against the person,4,3,0.0,-1
Metro Outer West,Caroline Springs,A Crimes against the person,A50 Robbery,4,18,0.0,14
Metro Inner North,Lower Plenty,D Public order and security offences,D20 Disorderly and offensive conduct,4,,0.0,
,Miepoll,E Justice procedures offences,E20 Breaches of orders,4,,0.0,
Metro Inner East,Burwood,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,1,0.0,-3
Metro Inner South,Murrumbeena,C Drug offences,C10 Drug dealing and trafficking,4,5,0.0,1
Metro Outer East,Lilydale,C Drug offences,C20 Cultivate or manufacture drugs,4,5,0.0,1
,Penshurst,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,1,0.0,-3
,Rawson,A Crimes against the person,A20 Assault and related offences,4,6,0.0,2
,Nyah West,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,1,0.0,-3
,Iraak,B Property and deception offences,B40 Theft,4,,0.0,
Metro Inner East,Notting Hill,E Justice procedures offences,E10 Justice procedures,4,3,0.0,-1
,Benambra,A Crimes against the person,A20 Assault and related offences,4,,0.0,
Other,Euroa,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,5,0.0,1
,Kalimna,B Property and deception offences,B40 Theft,4,10,0.0,6
Other,Yallourn North,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,7,0.0,3
,Tallangatta,A Crimes against the person,Other crimes against the person,4,1,0.0,-3
Other,St Leonards,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,5,0.0,1
Other,Killara,B Property and deception offences,B30 Burglary/Break and enter,4,1,0.0,-3
,Tarnagulla,E Justice procedures offences,E20 Breaches of orders,4,2,0.0,-2
Metro Outer North,Thomastown,C Drug offences,C20 Cultivate or manufacture drugs,4,12,0.0,8
,Forge Creek,A Crimes against the person,A20 Assault and related offences,4,,0.0,
,Colac East,B Property and deception offences,B40 Theft,4,7,0.0,3
Other,Golden Point,B Property and deception offences,B50 Deception,4,7,0.0,3
,Hoddles Creek,B Property and deception offences,B40 Theft,4,6,0.0,2
Metro Outer North,Mernda,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,5,0.0,1
,Toora,B Property and deception offences,B30 Burglary/Break and enter,4,5,0.0,1
Metro Inner East,Boronia,B Property and deception offences,B10 Arson,4,8,0.0,4
Other,North Bendigo,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,9,0.0,5
,Bellbrae,B Property and deception offences,B50 Deception,4,3,0.0,-1
,Campbelltown,B Property and deception offences,B40 Theft,4,2,0.0,-2
Other,Frankston,F Other offences,F20 Transport regulation offences,4,4,0.0,0
,Mount Rowan,B Property and deception offences,B40 Theft,4,11,0.0,7
Metro Outer South,Mount Martha,D Public order and security offences,D20 Disorderly and offensive conduct,4,5,0.0,1
Metro Outer North,Gladstone Park,B Property and deception offences,B10 Arson,4,8,0.0,4
,Sailors Gully,B Property and deception offences,B40 Theft,4,4,0.0,0
,Timmering,E Justice procedures offences,E20 Breaches of orders,4,2,0.0,-2
Metro Inner South,Beaumaris,C Drug offences,C30 Drug use and possession,4,9,0.0,5
,Shelbourne,B Property and deception offences,B30 Burglary/Break and enter,4,1,0.0,-3
Metro Inner North,Watsonia,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,10,0.0,6
Metro Inner West,Essendon Fields,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,1,0.0,-3
,Panmure,B Property and deception offences,B40 Theft,4,1,0.0,-3
Metro Inner North,Pascoe Vale South,C Drug offences,C30 Drug use and possession,4,9,0.0,5
,Smythesdale,A Crimes against the person,Other crimes against the person,4,1,0.0,-3
,Coldstream,B Property and deception offences,B20 Property damage,4,18,0.0,14
,Koonoomoo,A Crimes against the person,A20 Assault and related offences,4,1,0.0,-3
Metro Inner West,Albion,D Public order and security offences,D30 Public nuisance offences,4,2,0.0,-2
,Elphinstone,B Property and deception offences,B20 Property damage,4,2,0.0,-2
,Coronet Bay,B Property and deception offences,B20 Property damage,4,9,0.0,5
Other,Terang,C Drug offences,C30 Drug use and possession,4,3,0.0,-1
Metro Inner North,Macleod,D Public order and security offences,D10 Weapons and explosives offences,4,9,0.0,5
,Willaura,B Property and deception offences,B30 Burglary/Break and enter,4,6,0.0,2
Metro Outer North,Coolaroo,D Public order and security offences,D30 Public nuisance offences,4,2,0.0,-2
,Eaglehawk North,B Property and deception offences,B40 Theft,4,,0.0,
,Glengarry,B Property and deception offences,B30 Burglary/Break and enter,4,6,0.0,2
Metro Outer North,Whittlesea,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,6,0.0,2
Metro Outer South,Lynbrook,B Property and deception offences,B10 Arson,4,3,0.0,-1
,Omeo,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,3,0.0,-1
Metro Inner East,Box Hill,C Drug offences,C20 Cultivate or manufacture drugs,4,13,0.0,9
Other,Bell Post Hill,D Public order and security offences,D10 Weapons and explosives offences,4,3,0.0,-1
Metro Inner South,Murrumbeena,C Drug offences,C30 Drug use and possession,4,3,0.0,-1
Other,California Gully,C Drug offences,C10 Drug dealing and trafficking,4,1,0.0,-3
Metro Outer East,Yarra Glen,A Crimes against the person,Other crimes against the person,4,1,0.0,-3
Metro Inner,South Wharf,A Crimes against the person,Other crimes against the person,4,3,0.0,-1
Other,Korumburra,D Public order and security offences,D20 Disorderly and offensive conduct,4,2,0.0,-2
Other,Newcomb,A Crimes against the person,A50 Robbery,4,3,0.0,-1
,Cardross,B Property and deception offences,B30 Burglary/Break and enter,4,3,0.0,-1
Other,St Albans Park,D Public order and security offences,D10 Weapons and explosives offences,4,4,0.0,0
Metro Outer East,Lysterfield,C Drug offences,C30 Drug use and possession,4,4,0.0,0
,Connewarre,B Property and deception offences,B30 Burglary/Break and enter,4,5,0.0,1
Other,Hamlyn Heights,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,4,0.0,0
,Dalyston,B Property and deception offences,B30 Burglary/Break and enter,4,2,0.0,-2
Metro Outer South,Aspendale Gardens,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,2,0.0,-2
Other,Myrtleford,A Crimes against the person,A80 Dangerous and negligent acts endangering people,4,3,0.0,-1
,Balnarring,B Property and deception offences,B50 Deception,4,8,0.0,4
Metro Inner North,Ivanhoe,A Crimes against the person,A50 Robbery,4,3,0.0,-1
Metro Inner West,Essendon North,D Public order and security offences,D10 Weapons and explosives offences,4,1,0.0,-3
,Darnum,B Property and deception offences,B40 Theft,4,8,0.0,4
,Panton Hill,B Property and deception offences,B40 Theft,4,5,0.0,1
Metro Inner North,Kingsbury,B Property and deception offences,B10 Arson,4,4,0.0,0
,Corryong,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",4,3,0.0,-1
,Glen Alvie,E Justice procedures offences,E20 Breaches of orders,4,,0.0,
,Macclesfield,A Crimes against the person,A20 Assault and related offences,4,2,0.0,-2
,Violet Town,B Property and deception offences,B40 Theft,4,13,0.0,9
Metro Inner West,Keilor Lodge,B Property and deception offences,B20 Property damage,4,6,0.0,2
Other,Whittington,B Property and deception offences,B10 Arson,4,3,0.0,-1
,Wattle Glen,B Property and deception offences,B50 Deception,4,,0.0,
Metro Outer South,Mordialloc,A Crimes against the person,A50 Robbery,3,10,0.0,7
Metro Inner East,Nunawading,C Drug offences,C20 Cultivate or manufacture drugs,3,2,0.0,-1
,Bendoc,B Property and deception offences,B20 Property damage,3,,0.0,
Other,Skenes Creek,A Crimes against the person,A20 Assault and related offences,3,,0.0,
Other,Myrtleford,D Public order and security offences,D30 Public nuisance offences,3,2,0.0,-1
Metro Inner East,Bayswater,D Public order and security offences,D30 Public nuisance offences,3,2,0.0,-1
Other,Portland,A Crimes against the person,A50 Robbery,3,1,0.0,-2
Other,Mandurang,B Property and deception offences,B30 Burglary/Break and enter,3,6,0.0,3
,Boneo,E Justice procedures offences,E20 Breaches of orders,3,3,0.0,0
,Meringur,B Property and deception offences,B40 Theft,3,3,0.0,0
,McMillans,B Property and deception offences,B40 Theft,3,1,0.0,-2
Metro Inner North,Hadfield,B Property and deception offences,B10 Arson,3,6,0.0,3
Other,Moolap,D Public order and security offences,D10 Weapons and explosives offences,3,5,0.0,2
,Arthurs Creek,D Public order and security offences,D10 Weapons and explosives offences,3,,0.0,
Metro Inner West,Maidstone,D Public order and security offences,D20 Disorderly and offensive conduct,3,5,0.0,2
,Dixons Creek,A Crimes against the person,A20 Assault and related offences,3,3,0.0,0
Other,Mount Pleasant,C Drug offences,C30 Drug use and possession,3,2,0.0,-1
Other,North Wonthaggi,E Justice procedures offences,E10 Justice procedures,3,3,0.0,0
Metro Outer North,Campbellfield,C Drug offences,C20 Cultivate or manufacture drugs,3,8,0.0,5
,Milltown,B Property and deception offences,B40 Theft,3,,0.0,
Other,Mansfield,C Drug offences,C30 Drug use and possession,3,4,0.0,1
,Carwarp,E Justice procedures offences,E20 Breaches of orders,3,,0.0,
,Sassafras,E Justice procedures offences,E20 Breaches of orders,3,,0.0,
,Beulah,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",3,1,0.0,-2
,Nilma,B Property and deception offences,B40 Theft,3,,0.0,
Metro Outer North,Somerton,E Justice procedures offences,E20 Breaches of orders,3,2,0.0,-1
,Athlone,B Property and deception offences,B40 Theft,3,,0.0,
Metro Outer South,Dromana,D Public order and security offences,D20 Disorderly and offensive conduct,3,4,0.0,1
Metro Inner South,Murrumbeena,D Public order and security offences,D30 Public nuisance offences,3,1,0.0,-2
Other,Briagolong,A Crimes against the person,A20 Assault and related offences,3,5,0.0,2
,Wahring,B Property and deception offences,B40 Theft,3,4,0.0,1
Other,Thomson,B Property and deception offences,B10 Arson,3,1,0.0,-2
Metro Outer North,Gladstone Park,D Public order and security offences,D20 Disorderly and offensive conduct,3,,0.0,
Other,Delacombe,C Drug offences,C10 Drug dealing and trafficking,3,3,0.0,0
Metro Inner North,Montmorency,C Drug offences,C30 Drug use and possession,3,1,0.0,-2
,Jancourt East,B Property and deception offences,B20 Property damage,3,,0.0,
,Golden Beach,A Crimes against the person,A80 Dangerous and negligent acts endangering people,3,,0.0,
Other,Mallacoota,B Property and deception offences,B50 Deception,3,,0.0,
,Tarnagulla,B Property and deception offences,B40 Theft,3,4,0.0,1
Metro Outer South,Crib Point,C Drug offences,C30 Drug use and possession,3,3,0.0,0
,Charlton,B Property and deception offences,B20 Property damage,3,6,0.0,3
,Cardigan Village,A Crimes against the person,Other crimes against the person,3,1,0.0,-2
Other,Strathfieldsaye,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",3,5,0.0,2
Metro Outer East,Chirnside Park,C Drug offences,C10 Drug dealing and trafficking,3,3,0.0,0
Metro Inner West,Seddon,C Drug offences,C20 Cultivate or manufacture drugs,3,2,0.0,-1
,Dunnstown,B Property and deception offences,B40 Theft,3,3,0.0,0
Other,Wonthaggi,C Drug offences,C20 Cultivate or manufacture drugs,3,6,0.0,3
Other,Campbells Creek,A Crimes against the person,Other crimes against the person,3,4,0.0,1
Metro Inner,Burnley,D Public order and security offences,D10 Weapons and explosives offences,3,1,0.0,-2
Other,Langwarrin,C Drug offences,C10 Drug dealing and trafficking,3,4,0.0,1
,Wallington,B Property and deception offences,B20 Property damage,3,2,0.0,-1
Metro Inner West,Keilor Park,E Justice procedures offences,E10 Justice procedures,3,9,0.0,6
Other,Stratford,A Crimes against the person,A80 Dangerous and negligent acts endangering people,3,,0.0,
,Arcadia South,B Property and deception offences,B40 Theft,3,4,0.0,1
Metro Outer South,Chelsea,D Public order and security offences,D30 Public nuisance offences,3,4,0.0,1
Other,Quarry Hill,E Justice procedures offences,E10 Justice procedures,3,3,0.0,0
Other,Golden Point,C Drug offences,C30 Drug use and possession,3,9,0.0,6
Metro Inner South,Ormond,D Public order and security offences,D30 Public nuisance offences,3,2,0.0,-1
Metro Inner North,Alphington,C Drug offences,C30 Drug use and possession,3,7,0.0,4
Metro Inner North,Pascoe Vale,A Crimes against the person,A50 Robbery,3,2,0.0,-1
Metro Outer East,Belgrave Heights,A Crimes against the person,A20 Assault and related offences,3,5,0.0,2
,Ferny Creek,B Property and deception offences,B20 Property damage,3,4,0.0,1
Other,Strathfieldsaye,B Property and deception offences,B50 Deception,3,5,0.0,2
,Wallington,B Property and deception offences,B50 Deception,3,3,0.0,0
Other,Castlemaine,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",3,9,0.0,6
,Carag Carag,A Crimes against the person,A20 Assault and related offences,3,,0.0,
Metro Inner West,Keilor Lodge,E Justice procedures offences,E20 Breaches of orders,3,1,0.0,-2
Metro Inner East,Warranwood,C Drug offences,C30 Drug use and possession,3,1,0.0,-2
Other,Edenhope,B Property and deception offences,B20 Property damage,3,4,0.0,1
,Bumberrah,B Property and deception offences,B40 Theft,3,,0.0,
Other,Armstrong Creek,A Crimes against the person,A50 Robbery,3,3,0.0,0
,Kangaroo Ground,B Property and deception offences,B40 Theft,3,12,0.0,9
