Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Metro Inner,Southbank,B Property and deception offences,B20 Property damage,251,217,-13.545816733067728,-34
Other,Geelong West,B Property and deception offences,B40 Theft,249,275,10.441767068273089,26
Metro Outer South,Pakenham,B Property and deception offences,B30 Burglary/Break and enter,249,239,-4.016064257028118,-10
Metro Inner West,Footscray,B Property and deception offences,B30 Burglary/Break and enter,246,429,74.39024390243902,183
Metro Outer North,Epping,E Justice procedures offences,E20 Breaches of orders,246,197,-19.918699186991873,-49
Other,Sale,A Crimes against the person,A20 Assault and related offences,246,302,22.764227642276413,56
Metro Outer North,Wollert,B Property and deception offences,B40 Theft,245,449,83.26530612244898,204
Other,Seaford,E Justice procedures offences,E20 Breaches of orders,245,169,-31.0204081632653,-76
Metro Inner East,Nunawading,B Property and deception offences,B40 Theft,244,367,50.409836065573764,123
Other,Norlane,A Crimes against the person,A20 Assault and related offences,244,275,12.704918032786882,31
Metro Inner,Richmond,B Property and deception offences,B30 Burglary/Break and enter,244,454,86.0655737704918,210
Metro Inner,Richmond,E Justice procedures offences,E20 Breaches of orders,243,154,-36.62551440329218,-89
Metro Outer West,Point Cook,A Crimes against the person,A20 Assault and related offences,243,262,7.818930041152261,19
Metro Inner,Fitzroy,B Property and deception offences,B20 Property damage,242,272,12.396694214876035,30
Metro Outer North,Epping,B Property and deception offences,B20 Property damage,242,278,14.876033057851235,36
Other,Frankston,B Property and deception offences,B50 Deception,240,248,3.3333333333333437,8
Metro Outer West,Hoppers Crossing,E Justice procedures offences,E20 Breaches of orders,240,139,-42.08333333333333,-101
Metro Inner West,St Albans,B Property and deception offences,B30 Burglary/Break and enter,238,276,15.96638655462186,38
Metro Outer West,Williams Landing,B Property and deception offences,B40 Theft,237,315,32.91139240506329,78
Other,Horsham,B Property and deception offences,B20 Property damage,237,276,16.455696202531644,39
Metro Inner,Richmond,A Crimes against the person,A20 Assault and related offences,236,346,46.61016949152543,110
Other,Bendigo,B Property and deception offences,B20 Property damage,236,220,-6.779661016949157,-16
Metro Outer North,Craigieburn,B Property and deception offences,B20 Property damage,236,282,19.491525423728806,46
Other,Traralgon,B Property and deception offences,B20 Property damage,235,243,3.404255319148941,8
Metro Inner,Carlton,B Property and deception offences,B30 Burglary/Break and enter,235,349,48.51063829787235,114
Metro Inner North,Fawkner,B Property and deception offences,B40 Theft,235,382,62.553191489361694,147
Metro Outer North,Epping,A Crimes against the person,A20 Assault and related offences,235,256,8.936170212765958,21
Metro Inner,Fitzroy,E Justice procedures offences,E20 Breaches of orders,234,114,-51.28205128205128,-120
Other,Geelong,A Crimes against the person,A20 Assault and related offences,233,268,15.021459227467805,35
Metro Inner,Richmond,B Property and deception offences,B20 Property damage,233,338,45.06437768240343,105
Metro Inner North,Reservoir,B Property and deception offences,B50 Deception,232,199,-14.224137931034486,-33
Metro Inner East,Ringwood,A Crimes against the person,A20 Assault and related offences,232,206,-11.206896551724132,-26
Metro Inner East,Mount Waverley,B Property and deception offences,B30 Burglary/Break and enter,232,249,7.3275862068965525,17
Metro Inner,Melbourne CBD,E Justice procedures offences,E10 Justice procedures,231,231,0.0,0
Metro Inner East,Forest Hill,B Property and deception offences,B40 Theft,231,385,66.66666666666667,154
Metro Inner,Fitzroy,A Crimes against the person,A20 Assault and related offences,230,262,13.913043478260878,32
Metro Inner,South Yarra,A Crimes against the person,A20 Assault and related offences,230,267,16.086956521739125,37
Metro Inner North,Heidelberg,B Property and deception offences,B40 Theft,228,359,57.456140350877185,131
Metro Outer North,Craigieburn,E Justice procedures offences,E20 Breaches of orders,227,280,23.348017621145377,53
